word,colour,congruent,corrAns,n,imgBlue.started_mean,imgBlue.started_raw,,,,,,imgBlue.started_std,imgBlue.stopped_raw,,,,,,imgGreen.started_mean,imgGreen.started_raw,,,,,,imgGreen.started_std,imgGreen.stopped_raw,,,,,,imgRed.started_mean,imgRed.started_raw,,,,,,imgRed.started_std,imgRed.stopped_raw,,,,,,imgYellow.started_mean,imgYellow.started_raw,,,,,,imgYellow.started_std,imgYellow.stopped_raw,,,,,,mouse.clicked_name_raw,,,,,,mouse.leftButton_mean,mouse.leftButton_raw,,,,,,mouse.leftButton_std,mouse.midButton_mean,mouse.midButton_raw,,,,,,mouse.midButton_std,mouse.rightButton_mean,mouse.rightButton_raw,,,,,,mouse.rightButton_std,mouse.started_mean,mouse.started_raw,,,,,,mouse.stopped_raw,,,,,,mouse.time_mean,mouse.time_raw,,,,,,mouse.time_std,mouse.x_mean,mouse.x_raw,,,,,,mouse.y_mean,mouse.y_raw,,,,,,targetTxt.started_mean,targetTxt.started_raw,,,,,,targetTxt.started_std,targetTxt.stopped_raw,,,,,,order,,,,,
قرمز,red,1,imgRed,6.0,90.50773111979167,57.96305847167969, 68.41132354736328, 79.80965423583984, 97.69052124023438, 113.97022247314453, 125.20157623291016,26.33476659303486,, , , , , ,90.50773111979167,57.96305847167969, 68.41132354736328, 79.80965423583984, 97.69052124023438, 113.97022247314453, 125.20157623291016,26.33476659303486,, , , , , ,90.50773111979167,57.96305847167969, 68.41132354736328, 79.80965423583984, 97.69052124023438, 113.97022247314453, 125.20157623291016,26.33476659303486,, , , , , ,90.50773111979167,57.96305847167969, 68.41132354736328, 79.80965423583984, 97.69052124023438, 113.97022247314453, 125.20157623291016,26.33476659303486,, , , , , ,'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007636699995297628,0.006188699997437652, 0.0076863999929628335, 0.014087899995502084, 0.0064239999919664115, 0.005387799996242393, 0.006045399997674394,, , , , , ,0.9320287704467773,0.8244733810424805, 0.7797502875328064, 1.0666418075561523, 0.873769998550415, 1.0565569400787354, 0.9909803867340088,0.12268187356405628,-0.02716049382716049,-0.03611111111111111, -0.024074074074074074, -0.02962962962962963, -0.016666666666666666, -0.027777777777777776, -0.028703703703703703,-0.1557098765432099,-0.16296296296296298, -0.1527777777777778, -0.15185185185185185, -0.15833333333333333, -0.1527777777777778, -0.15555555555555556,90.50773111979167,57.96305847167969, 68.41132354736328, 79.80965423583984, 97.69052124023438, 113.97022247314453, 125.20157623291016,26.33476659303486,, , , , , ,10.0, 23.0, 37.0, 56.0, 74.0, 85.0
قرمز,blue,0,imgBlue,6.0,90.88861083984375,52.79820251464844, 64.03008270263672, 89.42448425292969, 100.72238159179688, 110.00442504882812, 128.35208129882812,28.425454879897103,, , , , , ,90.88861083984375,52.79820251464844, 64.03008270263672, 89.42448425292969, 100.72238159179688, 110.00442504882812, 128.35208129882812,28.425454879897103,, , , , , ,90.88861083984375,52.79820251464844, 64.03008270263672, 89.42448425292969, 100.72238159179688, 110.00442504882812, 128.35208129882812,28.425454879897103,, , , , , ,90.88861083984375,52.79820251464844, 64.03008270263672, 89.42448425292969, 100.72238159179688, 110.00442504882812, 128.35208129882812,28.425454879897103,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007344766664270234,0.0083059000025969, 0.007345499994698912, 0.00735770000028424, 0.005861499994352926, 0.007263099992997013, 0.007934900000691414,, , , , , ,0.7114187081654867,0.8418381214141846, 0.7417029142379761, 0.5259376764297485, 0.7574334144592285, 0.6430513262748718, 0.7585486769676208,0.11076304048237043,-0.001080246913580247,-0.002777777777777778, -0.003703703703703704, 0.000925925925925926, -0.000925925925925926, 0.0, 0.0,-0.15848765432098766,-0.15925925925925927, -0.15648148148148147, -0.15925925925925927, -0.15925925925925927, -0.16203703703703703, -0.15462962962962962,90.88861083984375,52.79820251464844, 64.03008270263672, 89.42448425292969, 100.72238159179688, 110.00442504882812, 128.35208129882812,28.425454879897103,, , , , , ,4.0, 18.0, 47.0, 59.0, 70.0, 88.0
قرمز,green,0,imgGreen,6.0,90.62161254882812,60.962703704833984, 70.92771911621094, 76.84332275390625, 102.98863220214844, 107.7213134765625, 124.28597259521484,24.641321662121992,, , , , , ,90.62161254882812,60.962703704833984, 70.92771911621094, 76.84332275390625, 102.98863220214844, 107.7213134765625, 124.28597259521484,24.641321662121992,, , , , , ,90.62161254882812,60.962703704833984, 70.92771911621094, 76.84332275390625, 102.98863220214844, 107.7213134765625, 124.28597259521484,24.641321662121992,, , , , , ,90.62161254882812,60.962703704833984, 70.92771911621094, 76.84332275390625, 102.98863220214844, 107.7213134765625, 124.28597259521484,24.641321662121992,, , , , , ,'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.009156599998580836,0.003924199998436961, 0.00727579999511363, 0.008665599998494145, 0.015188800003670622, 0.007451799996488262, 0.012433399999281392,, , , , , ,0.8526592254638672,0.5886085033416748, 0.8594002723693848, 0.5790351033210754, 1.4007899761199951, 0.7918108105659485, 0.8963106274604797,0.3002311376562253,0.03256172839506173,0.03148148148148148, 0.027777777777777776, 0.03333333333333333, 0.03425925925925926, 0.03611111111111111, 0.032407407407407406,-0.15740740740740738,-0.15648148148148147, -0.15648148148148147, -0.15555555555555556, -0.15833333333333333, -0.15925925925925927, -0.15833333333333333,90.62161254882812,60.962703704833984, 70.92771911621094, 76.84332275390625, 102.98863220214844, 107.7213134765625, 124.28597259521484,24.641321662121992,, , , , , ,14.0, 26.0, 33.0, 62.0, 67.0, 84.0
قرمز,yellow,0,imgYellow,6.0,91.9215087890625,61.58013916015625, 69.96099090576172, 77.44416046142578, 99.95594787597656, 110.67072296142578, 131.91714477539062,26.93767923461024,, , , , , ,91.9215087890625,61.58013916015625, 69.96099090576172, 77.44416046142578, 99.95594787597656, 110.67072296142578, 131.91714477539062,26.93767923461024,, , , , , ,91.9215087890625,61.58013916015625, 69.96099090576172, 77.44416046142578, 99.95594787597656, 110.67072296142578, 131.91714477539062,26.93767923461024,, , , , , ,91.9215087890625,61.58013916015625, 69.96099090576172, 77.44416046142578, 99.95594787597656, 110.67072296142578, 131.91714477539062,26.93767923461024,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008447499999116795,0.011398300004657358, 0.015434699998877477, 0.006925900001078844, 0.0014045999923837371, 0.007501899999624584, 0.008019599998078775,, , , , , ,0.8602119286855062,0.7284194231033325, 0.9339073896408081, 0.8413895964622498, 0.7386978268623352, 1.159834861755371, 0.7590221762657166,0.1660924505457267,0.06450617283950617,0.06388888888888888, 0.06759259259259259, 0.062037037037037036, 0.0712962962962963, 0.062037037037037036, 0.06018518518518518,-0.1552469135802469,-0.1537037037037037, -0.15648148148148147, -0.15555555555555556, -0.15, -0.16203703703703703, -0.1537037037037037,91.9215087890625,61.58013916015625, 69.96099090576172, 77.44416046142578, 99.95594787597656, 110.67072296142578, 131.91714477539062,26.93767923461024,, , , , , ,15.0, 25.0, 34.0, 58.0, 71.0, 93.0
آبی,red,0,imgRed,6.0,90.77433268229167,57.097206115722656, 71.81098175048828, 85.77500915527344, 90.841064453125, 115.93647003173828, 123.18525695800781,25.307534014988878,, , , , , ,90.77433268229167,57.097206115722656, 71.81098175048828, 85.77500915527344, 90.841064453125, 115.93647003173828, 123.18525695800781,25.307534014988878,, , , , , ,90.77433268229167,57.097206115722656, 71.81098175048828, 85.77500915527344, 90.841064453125, 115.93647003173828, 123.18525695800781,25.307534014988878,, , , , , ,90.77433268229167,57.097206115722656, 71.81098175048828, 85.77500915527344, 90.841064453125, 115.93647003173828, 123.18525695800781,25.307534014988878,, , , , , ,'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007409383330620282,0.007415099993522745, 0.007767899995087646, 0.0076143999976920895, 0.007422899994708132, 0.006828300000051968, 0.007407700002659112,, , , , , ,0.9516294002532959,0.8423240780830383, 1.0104087591171265, 0.7269961833953857, 1.0425313711166382, 1.010427474975586, 1.077088475227356,0.13661852728700774,-0.03132716049382716,-0.027777777777777776, -0.03148148148148148, -0.018518518518518517, -0.03796296296296296, -0.03425925925925926, -0.03796296296296296,-0.15864197530864196,-0.16111111111111112, -0.15555555555555556, -0.16111111111111112, -0.16018518518518518, -0.1574074074074074, -0.15648148148148147,90.77433268229167,57.097206115722656, 71.81098175048828, 85.77500915527344, 90.841064453125, 115.93647003173828, 123.18525695800781,25.307534014988878,, , , , , ,9.0, 27.0, 44.0, 49.0, 76.0, 83.0
آبی,blue,1,imgBlue,6.0,89.10786946614583,48.48133087158203, 72.84410095214844, 78.3097152709961, 91.90728759765625, 111.85370635986328, 131.25106811523438,29.437679829503782,, , , , , ,89.10786946614583,48.48133087158203, 72.84410095214844, 78.3097152709961, 91.90728759765625, 111.85370635986328, 131.25106811523438,29.437679829503782,, , , , , ,89.10786946614583,48.48133087158203, 72.84410095214844, 78.3097152709961, 91.90728759765625, 111.85370635986328, 131.25106811523438,29.437679829503782,, , , , , ,89.10786946614583,48.48133087158203, 72.84410095214844, 78.3097152709961, 91.90728759765625, 111.85370635986328, 131.25106811523438,29.437679829503782,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008393633333374359,0.012560299997858237, 0.007096299996192101, 0.006623900000704452, 0.008081400002993178, 0.008875999999872874, 0.007123900002625305,, , , , , ,0.8351651827494303,1.43204665184021, 0.6258373260498047, 0.7251356840133667, 0.6263592839241028, 0.9598749876022339, 0.6417372226715088,0.3189855623306857,-0.0007716049382716049,-0.002777777777777778, -0.002777777777777778, 0.0, -0.006481481481481481, 0.003703703703703704, 0.003703703703703704,-0.15679012345679014,-0.1574074074074074, -0.15555555555555556, -0.16111111111111112, -0.1537037037037037, -0.16018518518518518, -0.1527777777777778,89.10786946614583,48.48133087158203, 72.84410095214844, 78.3097152709961, 91.90728759765625, 111.85370635986328, 131.25106811523438,29.437679829503782,, , , , , ,0.0, 28.0, 35.0, 50.0, 72.0, 92.0
آبی,green,0,imgGreen,6.0,85.98641967773438,55.34709548950195, 65.74578857421875, 76.15996551513672, 89.97535705566406, 106.00489044189453, 122.68540954589844,25.331708138513,, , , , , ,85.98641967773438,55.34709548950195, 65.74578857421875, 76.15996551513672, 89.97535705566406, 106.00489044189453, 122.68540954589844,25.331708138513,, , , , , ,85.98641967773438,55.34709548950195, 65.74578857421875, 76.15996551513672, 89.97535705566406, 106.00489044189453, 122.68540954589844,25.331708138513,, , , , , ,85.98641967773438,55.34709548950195, 65.74578857421875, 76.15996551513672, 89.97535705566406, 106.00489044189453, 122.68540954589844,25.331708138513,, , , , , ,'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006325666666574155,0.004877700004726648, 0.005266799998935312, 0.007557299999461975, 0.006572300000698306, 0.005686199998308439, 0.007993699997314252,, , , , , ,0.7107752164204916,0.922511875629425, 0.7397019863128662, 0.659673273563385, 0.8414834141731262, 0.6240608096122742, 0.4772200882434845,0.15964498027733817,0.03410493827160494,0.03425925925925926, 0.03425925925925926, 0.03333333333333333, 0.037037037037037035, 0.026851851851851852, 0.03888888888888889,-0.1558641975308642,-0.16018518518518518, -0.15833333333333333, -0.15555555555555556, -0.15092592592592594, -0.15555555555555556, -0.15462962962962962,85.98641967773438,55.34709548950195, 65.74578857421875, 76.15996551513672, 89.97535705566406, 106.00489044189453, 122.68540954589844,25.331708138513,, , , , , ,7.0, 20.0, 32.0, 48.0, 65.0, 82.0
آبی,yellow,0,imgYellow,6.0,91.57696533203125,49.94801712036133, 75.22724914550781, 87.15849304199219, 93.62371826171875, 112.83705139160156, 130.66732788085938,28.298559493309725,, , , , , ,91.57696533203125,49.94801712036133, 75.22724914550781, 87.15849304199219, 93.62371826171875, 112.83705139160156, 130.66732788085938,28.298559493309725,, , , , , ,91.57696533203125,49.94801712036133, 75.22724914550781, 87.15849304199219, 93.62371826171875, 112.83705139160156, 130.66732788085938,28.298559493309725,, , , , , ,91.57696533203125,49.94801712036133, 75.22724914550781, 87.15849304199219, 93.62371826171875, 112.83705139160156, 130.66732788085938,28.298559493309725,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.005469566665851744,0.0005244999920250848, 0.00827440000284696, 0.005062700001872145, 0.006770100000721868, 0.008099999991827644, 0.004085700005816761,, , , , , ,0.9592052300771078,1.2888376712799072, 0.9100893139839172, 0.9239528775215149, 0.9667862057685852, 1.109784483909607, 0.5557808876037598,0.2440473031381147,0.06759259259259259,0.06574074074074074, 0.05925925925925926, 0.08055555555555556, 0.07685185185185185, 0.062037037037037036, 0.06111111111111111,-0.15648148148148147,-0.1574074074074074, -0.15462962962962962, -0.15555555555555556, -0.15462962962962962, -0.1574074074074074, -0.15925925925925927,91.57696533203125,49.94801712036133, 75.22724914550781, 87.15849304199219, 93.62371826171875, 112.83705139160156, 130.66732788085938,28.298559493309725,, , , , , ,1.0, 31.0, 45.0, 52.0, 73.0, 91.0
سبز,red,0,imgRed,6.0,91.88541666666667,58.81303405761719, 74.19451904296875, 79.06043243408203, 101.50586700439453, 116.96964263916016, 120.76900482177734,25.009053131981698,, , , , , ,91.88541666666667,58.81303405761719, 74.19451904296875, 79.06043243408203, 101.50586700439453, 116.96964263916016, 120.76900482177734,25.009053131981698,, , , , , ,91.88541666666667,58.81303405761719, 74.19451904296875, 79.06043243408203, 101.50586700439453, 116.96964263916016, 120.76900482177734,25.009053131981698,, , , , , ,91.88541666666667,58.81303405761719, 74.19451904296875, 79.06043243408203, 101.50586700439453, 116.96964263916016, 120.76900482177734,25.009053131981698,, , , , , ,'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006704383332059176,0.005219699996814597, 0.008914700003515463, 0.006210399995325133, 0.008370699993974995, 0.005939100003161002, 0.005571699999563862,, , , , , ,0.8557130495707194,0.6566445827484131, 1.0105129480361938, 0.7406409978866577, 0.6454489231109619, 1.0400859117507935, 1.0409448146820068,0.19460113160888082,-0.03333333333333333,-0.03518518518518519, -0.03611111111111111, -0.037037037037037035, -0.03518518518518519, -0.025925925925925925, -0.030555555555555555,-0.1589506172839506,-0.15925925925925927, -0.15833333333333333, -0.15648148148148147, -0.15925925925925927, -0.16203703703703703, -0.15833333333333333,91.88541666666667,58.81303405761719, 74.19451904296875, 79.06043243408203, 101.50586700439453, 116.96964263916016, 120.76900482177734,25.009053131981698,, , , , , ,11.0, 30.0, 36.0, 60.0, 77.0, 80.0
سبز,blue,0,imgBlue,6.0,92.2132568359375,59.49711608886719, 73.49390411376953, 81.60958862304688, 96.773193359375, 109.20487213134766, 132.7008514404297,26.38920665571748,, , , , , ,92.2132568359375,59.49711608886719, 73.49390411376953, 81.60958862304688, 96.773193359375, 109.20487213134766, 132.7008514404297,26.38920665571748,, , , , , ,92.2132568359375,59.49711608886719, 73.49390411376953, 81.60958862304688, 96.773193359375, 109.20487213134766, 132.7008514404297,26.38920665571748,, , , , , ,92.2132568359375,59.49711608886719, 73.49390411376953, 81.60958862304688, 96.773193359375, 109.20487213134766, 132.7008514404297,26.38920665571748,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006748433330358239,0.008220399999117944, 0.005634999994072132, 0.0037465999921550974, 0.007468699994205963, 0.008624100002634805, 0.006795799999963492,, , , , , ,0.7394609451293945,0.6616659164428711, 0.6743276715278625, 0.7553138136863708, 0.8930310010910034, 0.7769775986671448, 0.6754500865936279,0.08903299910828903,-0.0023148148148148147,0.001851851851851852, -0.002777777777777778, -0.009259259259259259, -0.001851851851851852, -0.009259259259259259, 0.007407407407407408,-0.15756172839506175,-0.15925925925925927, -0.15555555555555556, -0.15925925925925927, -0.15555555555555556, -0.16203703703703703, -0.1537037037037037,92.2132568359375,59.49711608886719, 73.49390411376953, 81.60958862304688, 96.773193359375, 109.20487213134766, 132.7008514404297,26.38920665571748,, , , , , ,12.0, 29.0, 39.0, 55.0, 69.0, 94.0
