word,colour,congruent,corrAns,n,imgBlue.started_mean,imgBlue.started_raw,,,,,,imgBlue.started_std,imgBlue.stopped_raw,,,,,,imgGreen.started_mean,imgGreen.started_raw,,,,,,imgGreen.started_std,imgGreen.stopped_raw,,,,,,imgRed.started_mean,imgRed.started_raw,,,,,,imgRed.started_std,imgRed.stopped_raw,,,,,,imgYellow.started_mean,imgYellow.started_raw,,,,,,imgYellow.started_std,imgYellow.stopped_raw,,,,,,mouse.clicked_name_raw,,,,,,mouse.leftButton_mean,mouse.leftButton_raw,,,,,,mouse.leftButton_std,mouse.midButton_mean,mouse.midButton_raw,,,,,,mouse.midButton_std,mouse.rightButton_mean,mouse.rightButton_raw,,,,,,mouse.rightButton_std,mouse.started_mean,mouse.started_raw,,,,,,mouse.stopped_raw,,,,,,mouse.time_mean,mouse.time_raw,,,,,,mouse.time_std,mouse.x_mean,mouse.x_raw,,,,,,mouse.y_mean,mouse.y_raw,,,,,,targetTxt.started_mean,targetTxt.started_raw,,,,,,targetTxt.started_std,targetTxt.stopped_raw,,,,,,order,,,,,
قرمز,red,1,imgRed,6.0,109.3956298828125,101.08042907714844, 105.32965087890625, 106.56283569335938, 111.84527587890625, 113.0782470703125, 118.47737121582031,6.256835192236298,, , , , , ,109.3956298828125,101.08042907714844, 105.32965087890625, 106.56283569335938, 111.84527587890625, 113.0782470703125, 118.47737121582031,6.256835192236298,, , , , , ,109.3956298828125,101.08042907714844, 105.32965087890625, 106.56283569335938, 111.84527587890625, 113.0782470703125, 118.47737121582031,6.256835192236298,, , , , , ,109.3956298828125,101.08042907714844, 105.32965087890625, 106.56283569335938, 111.84527587890625, 113.0782470703125, 118.47737121582031,6.256835192236298,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006703386626516779,0.004902719985693693, 0.007606319850310683, 0.006765219965018332, 0.006934619974344969, 0.00735542003531009, 0.006656019948422909,, , , , , ,0.1803357203801473,0.15654760599136353, 0.20843079686164856, 0.19132350385189056, 0.15839460492134094, 0.1927240937948227, 0.1745937019586563,0.020706492765739107,-0.06944444444444443,-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445,-0.21959876543209877,-0.22037037037037038, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444,109.3956298828125,101.08042907714844, 105.32965087890625, 106.56283569335938, 111.84527587890625, 113.0782470703125, 118.47737121582031,6.256835192236298,, , , , , ,9.0, 28.0, 34.0, 59.0, 65.0, 90.0
قرمز,blue,0,imgBlue,6.0,108.5208231608073,97.98094940185547, 104.51323699951172, 106.36293029785156, 109.6956558227539, 115.42779541015625, 117.14434051513672,7.145036547144013,, , , , , ,108.5208231608073,97.98094940185547, 104.51323699951172, 106.36293029785156, 109.6956558227539, 115.42779541015625, 117.14434051513672,7.145036547144013,, , , , , ,108.5208231608073,97.98094940185547, 104.51323699951172, 106.36293029785156, 109.6956558227539, 115.42779541015625, 117.14434051513672,7.145036547144013,, , , , , ,108.5208231608073,97.98094940185547, 104.51323699951172, 106.36293029785156, 109.6956558227539, 115.42779541015625, 117.14434051513672,7.145036547144013,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006492086608583729,0.003324819845147431, 0.008422820013947785, 0.007264319923706353, 0.005215020035393536, 0.008711219881661236, 0.00601431995164603,, , , , , ,0.2940205931663513,0.8215019702911377, 0.1771657019853592, 0.17523929476737976, 0.19024209678173065, 0.19265620410442352, 0.20731839537620544,0.2586745648258136,-0.06944444444444443,-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445,-0.21959876543209877,-0.22037037037037038, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444,108.5208231608073,97.98094940185547, 104.51323699951172, 106.36293029785156, 109.6956558227539, 115.42779541015625, 117.14434051513672,7.145036547144013,, , , , , ,1.0, 24.0, 33.0, 49.0, 76.0, 84.0
قرمز,green,0,imgGreen,6.0,110.25948079427083,101.8302001953125, 105.12960052490234, 108.42914581298828, 112.22886657714844, 114.37849426269531, 119.56057739257812,6.450949067906894,, , , , , ,110.25948079427083,101.8302001953125, 105.12960052490234, 108.42914581298828, 112.22886657714844, 114.37849426269531, 119.56057739257812,6.450949067906894,, , , , , ,110.25948079427083,101.8302001953125, 105.12960052490234, 108.42914581298828, 112.22886657714844, 114.37849426269531, 119.56057739257812,6.450949067906894,, , , , , ,110.25948079427083,101.8302001953125, 105.12960052490234, 108.42914581298828, 112.22886657714844, 114.37849426269531, 119.56057739257812,6.450949067906894,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007050470002771665,0.008249019971117377, 0.006639020051807165, 0.007159219938330352, 0.005454019992612302, 0.007192920078523457, 0.00760861998423934,, , , , , ,0.22220750649770102,0.3762415051460266, 0.1741604059934616, 0.19196060299873352, 0.20725730061531067, 0.1913451999425888, 0.1922800987958908,0.07618597263448258,-0.06944444444444443,-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445,-0.21959876543209877,-0.22037037037037038, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444,110.25948079427083,101.8302001953125, 105.12960052490234, 108.42914581298828, 112.22886657714844, 114.37849426269531, 119.56057739257812,6.450949067906894,, , , , , ,13.0, 27.0, 43.0, 61.0, 71.0, 95.0
قرمز,yellow,0,imgYellow,6.0,108.85683186848958,100.16378021240234, 103.9132308959961, 106.99610137939453, 111.39524841308594, 113.9448013305664, 116.7278060913086,6.288940811311165,, , , , , ,108.85683186848958,100.16378021240234, 103.9132308959961, 106.99610137939453, 111.39524841308594, 113.9448013305664, 116.7278060913086,6.288940811311165,, , , , , ,108.85683186848958,100.16378021240234, 103.9132308959961, 106.99610137939453, 111.39524841308594, 113.9448013305664, 116.7278060913086,6.288940811311165,, , , , , ,108.85683186848958,100.16378021240234, 103.9132308959961, 106.99610137939453, 111.39524841308594, 113.9448013305664, 116.7278060913086,6.288940811311165,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007603736613721897,0.008221319993026555, 0.007888819905929267, 0.007140719913877547, 0.007716919993981719, 0.007188319927081466, 0.00746631994843483,, , , , , ,0.19235251347223917,0.24291490018367767, 0.17556069791316986, 0.1763675957918167, 0.19184349477291107, 0.191867396235466, 0.17556099593639374,0.025986485383379655,-0.06944444444444443,-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445,-0.21975308641975308,-0.22037037037037038, -0.22037037037037038, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444,108.85683186848958,100.16378021240234, 103.9132308959961, 106.99610137939453, 111.39524841308594, 113.9448013305664, 116.7278060913086,6.288940811311165,, , , , , ,5.0, 21.0, 36.0, 57.0, 69.0, 82.0
آبی,red,0,imgRed,6.0,109.22105916341145,101.48116302490234, 102.79666137695312, 106.16281127929688, 110.1297607421875, 115.86122131347656, 118.89469146728516,7.0573141231381555,, , , , , ,109.22105916341145,101.48116302490234, 102.79666137695312, 106.16281127929688, 110.1297607421875, 115.86122131347656, 118.89469146728516,7.0573141231381555,, , , , , ,109.22105916341145,101.48116302490234, 102.79666137695312, 106.16281127929688, 110.1297607421875, 115.86122131347656, 118.89469146728516,7.0573141231381555,, , , , , ,109.22105916341145,101.48116302490234, 102.79666137695312, 106.16281127929688, 110.1297607421875, 115.86122131347656, 118.89469146728516,7.0573141231381555,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.010284386633429676,0.013274920056574047, 0.006497019901871681, 0.00911081989761442, 0.01116322004236281, 0.00753462000284344, 0.014125719899311662,, , , , , ,0.20857993761698404,0.14810019731521606, 0.3577790856361389, 0.17653119564056396, 0.17911140620708466, 0.1923885941505432, 0.1975691020488739,0.07509607055697996,-0.06944444444444443,-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445,-0.21975308641975308,-0.22037037037037038, -0.22037037037037038, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444,109.22105916341145,101.48116302490234, 102.79666137695312, 106.16281127929688, 110.1297607421875, 115.86122131347656, 118.89469146728516,7.0573141231381555,, , , , , ,11.0, 17.0, 32.0, 51.0, 78.0, 92.0
آبی,blue,1,imgBlue,6.0,108.78743489583333,96.83101654052734, 104.7130355834961, 108.02972412109375, 109.91212463378906, 115.64459228515625, 117.59412384033203,7.562725697728206,, , , , , ,108.78743489583333,96.83101654052734, 104.7130355834961, 108.02972412109375, 109.91212463378906, 115.64459228515625, 117.59412384033203,7.562725697728206,, , , , , ,108.78743489583333,96.83101654052734, 104.7130355834961, 108.02972412109375, 109.91212463378906, 115.64459228515625, 117.59412384033203,7.562725697728206,, , , , , ,108.78743489583333,96.83101654052734, 104.7130355834961, 108.02972412109375, 109.91212463378906, 115.64459228515625, 117.59412384033203,7.562725697728206,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007985306651486704,0.009408039855770767, 0.005420919973403215, 0.00776722002774477, 0.006023320136591792, 0.009666719939559698, 0.009625619975849986,, , , , , ,0.3457225163777669,1.127219557762146, 0.1899988055229187, 0.1758003979921341, 0.1911741942167282, 0.19541330635547638, 0.19472889602184296,0.38291987204116457,-0.06944444444444443,-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445,-0.21959876543209877,-0.22037037037037038, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444,108.78743489583333,96.83101654052734, 104.7130355834961, 108.02972412109375, 109.91212463378906, 115.64459228515625, 117.59412384033203,7.562725697728206,, , , , , ,0.0, 25.0, 41.0, 50.0, 77.0, 86.0
آبی,green,0,imgGreen,6.0,109.4622802734375,102.23021697998047, 105.5629653930664, 108.64571380615234, 110.54551696777344, 113.29487609863281, 116.49440002441406,5.166954180166138,, , , , , ,109.4622802734375,102.23021697998047, 105.5629653930664, 108.64571380615234, 110.54551696777344, 113.29487609863281, 116.49440002441406,5.166954180166138,, , , , , ,109.4622802734375,102.23021697998047, 105.5629653930664, 108.64571380615234, 110.54551696777344, 113.29487609863281, 116.49440002441406,5.166954180166138,, , , , , ,109.4622802734375,102.23021697998047, 105.5629653930664, 108.64571380615234, 110.54551696777344, 113.29487609863281, 116.49440002441406,5.166954180166138,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007486003354036559,0.008200420066714287, 0.0072487200377509, 0.006911020027473569, 0.006878820015117526, 0.007374019944109023, 0.008303020033054054,, , , , , ,0.17805580298105875,0.14322219789028168, 0.1579888015985489, 0.1748604029417038, 0.19096440076828003, 0.1916092038154602, 0.20968979597091675,0.024402095209264164,-0.06944444444444443,-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445,-0.21959876543209877,-0.22037037037037038, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444,109.4622802734375,102.23021697998047, 105.5629653930664, 108.64571380615234, 110.54551696777344, 113.29487609863281, 116.49440002441406,5.166954180166138,, , , , , ,14.0, 29.0, 44.0, 53.0, 66.0, 81.0
آبی,yellow,0,imgYellow,6.0,109.09573364257812,100.66387939453125, 103.36337280273438, 107.39595031738281, 110.97872161865234, 114.79473876953125, 117.37775421142578,6.503253925059147,, , , , , ,109.09573364257812,100.66387939453125, 103.36337280273438, 107.39595031738281, 110.97872161865234, 114.79473876953125, 117.37775421142578,6.503253925059147,, , , , , ,109.09573364257812,100.66387939453125, 103.36337280273438, 107.39595031738281, 110.97872161865234, 114.79473876953125, 117.37775421142578,6.503253925059147,, , , , , ,109.09573364257812,100.66387939453125, 103.36337280273438, 107.39595031738281, 110.97872161865234, 114.79473876953125, 117.37775421142578,6.503253925059147,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007700903282966465,0.007896619848906994, 0.00794331997167319, 0.007131119957193732, 0.006400019978173077, 0.009209719952195883, 0.007624619989655912,, , , , , ,0.18412588040033975,0.17663860321044922, 0.19215349853038788, 0.1757328063249588, 0.17446710169315338, 0.1939978003501892, 0.19176550209522247,0.009381431599137941,-0.06944444444444443,-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445,-0.21975308641975308,-0.22037037037037038, -0.22037037037037038, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444,109.09573364257812,100.66387939453125, 103.36337280273438, 107.39595031738281, 110.97872161865234, 114.79473876953125, 117.37775421142578,6.503253925059147,, , , , , ,7.0, 19.0, 38.0, 55.0, 73.0, 85.0
سبز,red,0,imgRed,6.0,110.35394287109375,102.39678955078125, 104.92961883544922, 109.29618835449219, 112.66179656982422, 113.51158905029297, 119.32766723632812,6.159270604462489,, , , , , ,110.35394287109375,102.39678955078125, 104.92961883544922, 109.29618835449219, 112.66179656982422, 113.51158905029297, 119.32766723632812,6.159270604462489,, , , , , ,110.35394287109375,102.39678955078125, 104.92961883544922, 109.29618835449219, 112.66179656982422, 113.51158905029297, 119.32766723632812,6.159270604462489,, , , , , ,110.35394287109375,102.39678955078125, 104.92961883544922, 109.29618835449219, 112.66179656982422, 113.51158905029297, 119.32766723632812,6.159270604462489,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006783919990994036,0.005978520028293133, 0.002205620054155588, 0.007351219886913896, 0.009307719999924302, 0.008122819941490889, 0.00773762003518641,, , , , , ,0.18605575958887735,0.17448100447654724, 0.17080479860305786, 0.17502950131893158, 0.19402459263801575, 0.1929387003183365, 0.20905600488185883,0.015020210352219118,-0.06944444444444443,-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445,-0.21959876543209877,-0.22037037037037038, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444,110.35394287109375,102.39678955078125, 104.92961883544922, 109.29618835449219, 112.66179656982422, 113.51158905029297, 119.32766723632812,6.159270604462489,, , , , , ,15.0, 26.0, 47.0, 63.0, 67.0, 94.0
سبز,blue,0,imgBlue,6.0,108.73750813802083,98.8307876586914, 104.11327362060547, 107.19613647460938, 110.7624282836914, 115.22786712646484, 116.2945785522461,6.711733856063807,, , , , , ,108.73750813802083,98.8307876586914, 104.11327362060547, 107.19613647460938, 110.7624282836914, 115.22786712646484, 116.2945785522461,6.711733856063807,, , , , , ,108.73750813802083,98.8307876586914, 104.11327362060547, 107.19613647460938, 110.7624282836914, 115.22786712646484, 116.2945785522461,6.711733856063807,, , , , , ,108.73750813802083,98.8307876586914, 104.11327362060547, 107.19613647460938, 110.7624282836914, 115.22786712646484, 116.2945785522461,6.711733856063807,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008075869972041497,0.008905719965696335, 0.008984519983641803, 0.006785920006223023, 0.008384719956666231, 0.007195819984190166, 0.008198519935831428,, , , , , ,0.2287206451098124,0.4597606062889099, 0.19328530132770538, 0.17427560687065125, 0.1930592954158783, 0.17526009678840637, 0.1766829937696457,0.11352274546123159,-0.06944444444444443,-0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445, -0.06944444444444445,-0.21975308641975308,-0.22037037037037038, -0.22037037037037038, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444, -0.21944444444444444,108.73750813802083,98.8307876586914, 104.11327362060547, 107.19613647460938, 110.7624282836914, 115.22786712646484, 116.2945785522461,6.711733856063807,, , , , , ,2.0, 22.0, 37.0, 54.0, 75.0, 80.0
