word,colour,congruent,corrAns,n,imgBlue.started_mean,imgBlue.started_raw,,,,,,imgBlue.started_std,imgBlue.stopped_raw,,,,,,imgGreen.started_mean,imgGreen.started_raw,,,,,,imgGreen.started_std,imgGreen.stopped_raw,,,,,,imgRed.started_mean,imgRed.started_raw,,,,,,imgRed.started_std,imgRed.stopped_raw,,,,,,imgYellow.started_mean,imgYellow.started_raw,,,,,,imgYellow.started_std,imgYellow.stopped_raw,,,,,,mouse.clicked_name_raw,,,,,,mouse.leftButton_mean,mouse.leftButton_raw,,,,,,mouse.leftButton_std,mouse.midButton_mean,mouse.midButton_raw,,,,,,mouse.midButton_std,mouse.rightButton_mean,mouse.rightButton_raw,,,,,,mouse.rightButton_std,mouse.started_mean,mouse.started_raw,,,,,,mouse.stopped_raw,,,,,,mouse.time_mean,mouse.time_raw,,,,,,mouse.time_std,mouse.x_mean,mouse.x_raw,,,,,,mouse.y_mean,mouse.y_raw,,,,,,targetTxt.started_mean,targetTxt.started_raw,,,,,,targetTxt.started_std,targetTxt.stopped_raw,,,,,,order,,,,,
قرمز,red,1,imgRed,6.0,69.17354329427083,58.816951751708984, 63.46622085571289, 68.31538391113281, 72.11468505859375, 73.91439819335938, 78.4135971069336,7.1704054255942635,, , , , , ,69.17354329427083,58.816951751708984, 63.46622085571289, 68.31538391113281, 72.11468505859375, 73.91439819335938, 78.4135971069336,7.1704054255942635,, , , , , ,69.17354329427083,58.816951751708984, 63.46622085571289, 68.31538391113281, 72.11468505859375, 73.91439819335938, 78.4135971069336,7.1704054255942635,, , , , , ,69.17354329427083,58.816951751708984, 63.46622085571289, 68.31538391113281, 72.11468505859375, 73.91439819335938, 78.4135971069336,7.1704054255942635,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006775699999858868,0.008521099999597936, 0.006969099999878381, 0.006974599999921338, 0.007921799999166979, 0.0026779999998325366, 0.007589600000756036,, , , , , ,0.20559140046437582,0.22801600396633148, 0.17523449659347534, 0.20855610072612762, 0.20948100090026855, 0.20312149822711945, 0.20913919806480408,0.01712898233354889,0.15462962962962962,0.1574074074074074, 0.15555555555555556, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037,-0.2094135802469136,-0.21296296296296297, -0.2101851851851852, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334,69.17354329427083,58.816951751708984, 63.46622085571289, 68.31538391113281, 72.11468505859375, 73.91439819335938, 78.4135971069336,7.1704054255942635,, , , , , ,7.0, 27.0, 47.0, 63.0, 70.0, 89.0
قرمز,blue,0,imgBlue,6.0,69.02638753255208,59.60011291503906, 63.06610107421875, 67.64949798583984, 69.88159942626953, 75.31407165527344, 78.64695739746094,7.198572305532226,, , , , , ,69.02638753255208,59.60011291503906, 63.06610107421875, 67.64949798583984, 69.88159942626953, 75.31407165527344, 78.64695739746094,7.198572305532226,, , , , , ,69.02638753255208,59.60011291503906, 63.06610107421875, 67.64949798583984, 69.88159942626953, 75.31407165527344, 78.64695739746094,7.198572305532226,, , , , , ,69.02638753255208,59.60011291503906, 63.06610107421875, 67.64949798583984, 69.88159942626953, 75.31407165527344, 78.64695739746094,7.198572305532226,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006669000000177523,0.007358300000305462, 0.0077845000005254406, 0.008286600000246835, 0.001949600000443752, 0.007271700000273995, 0.007363299999269657,, , , , , ,0.19450612862904867,0.19110910594463348, 0.17620040476322174, 0.2105385959148407, 0.18723970651626587, 0.20893269777297974, 0.19301630556583405,0.013166819334871861,0.15462962962962962,0.1574074074074074, 0.15555555555555556, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037,-0.2095679012345679,-0.21296296296296297, -0.2111111111111111, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334,69.02638753255208,59.60011291503906, 63.06610107421875, 67.64949798583984, 69.88159942626953, 75.31407165527344, 78.64695739746094,7.198572305532226,, , , , , ,10.0, 25.0, 44.0, 54.0, 76.0, 90.0
قرمز,green,0,imgGreen,6.0,68.27103169759114,59.816837310791016, 62.4001579284668, 67.43263244628906, 69.43172454833984, 72.56454467773438, 77.98028564453125,6.643712044602603,, , , , , ,68.27103169759114,59.816837310791016, 62.4001579284668, 67.43263244628906, 69.43172454833984, 72.56454467773438, 77.98028564453125,6.643712044602603,, , , , , ,68.27103169759114,59.816837310791016, 62.4001579284668, 67.43263244628906, 69.43172454833984, 72.56454467773438, 77.98028564453125,6.643712044602603,, , , , , ,68.27103169759114,59.816837310791016, 62.4001579284668, 67.43263244628906, 69.43172454833984, 72.56454467773438, 77.98028564453125,6.643712044602603,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008173216666667335,0.008051800000430376, 0.005999599999995553, 0.006908199999998033, 0.005888299999242008, 0.0072017000002233544, 0.01498970000011468,, , , , , ,0.19570992390314737,0.15990160405635834, 0.22489279508590698, 0.19076170027256012, 0.1903378963470459, 0.2085539996623993, 0.19981159269809723,0.021767008553745595,0.15447530864197528,0.15648148148148147, 0.15555555555555556, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037,-0.2095679012345679,-0.21296296296296297, -0.2111111111111111, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334,68.27103169759114,59.816837310791016, 62.4001579284668, 67.43263244628906, 69.43172454833984, 72.56454467773438, 77.98028564453125,6.643712044602603,, , , , , ,11.0, 22.0, 43.0, 52.0, 65.0, 87.0
قرمز,yellow,0,imgYellow,6.0,67.78783162434895,54.334312438964844, 62.649742126464844, 65.53305053710938, 68.549072265625, 75.980712890625, 79.68011474609375,9.182705140818822,, , , , , ,67.78783162434895,54.334312438964844, 62.649742126464844, 65.53305053710938, 68.549072265625, 75.980712890625, 79.68011474609375,9.182705140818822,, , , , , ,67.78783162434895,54.334312438964844, 62.649742126464844, 65.53305053710938, 68.549072265625, 75.980712890625, 79.68011474609375,9.182705140818822,, , , , , ,67.78783162434895,54.334312438964844, 62.649742126464844, 65.53305053710938, 68.549072265625, 75.980712890625, 79.68011474609375,9.182705140818822,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008238133333482741,0.011711800000739458, 0.007368900000074063, 0.007134500000574917, 0.007655999999769847, 0.007115199999134347, 0.008442400000603811,, , , , , ,0.3543939193089803,0.7979037761688232, 0.19110870361328125, 0.19204899668693542, 0.19264259934425354, 0.19243119657039642, 0.5602282881736755,0.26248128663618714,0.15725308641975308,0.1787037037037037, 0.15555555555555556, 0.15462962962962962, 0.1537037037037037, 0.1537037037037037, 0.14722222222222223,-0.20895061728395062,-0.20925925925925926, -0.2111111111111111, -0.20925925925925926, -0.20833333333333334, -0.20833333333333334, -0.2074074074074074,67.78783162434895,54.334312438964844, 62.649742126464844, 65.53305053710938, 68.549072265625, 75.980712890625, 79.68011474609375,9.182705140818822,, , , , , ,0.0, 23.0, 34.0, 48.0, 79.0, 95.0
آبی,red,0,imgRed,6.0,67.6766357421875,58.317100524902344, 61.13371658325195, 66.36564636230469, 68.76527404785156, 74.38094329833984, 77.09712219238281,7.307637400480218,, , , , , ,67.6766357421875,58.317100524902344, 61.13371658325195, 66.36564636230469, 68.76527404785156, 74.38094329833984, 77.09712219238281,7.307637400480218,, , , , , ,67.6766357421875,58.317100524902344, 61.13371658325195, 66.36564636230469, 68.76527404785156, 74.38094329833984, 77.09712219238281,7.307637400480218,, , , , , ,67.6766357421875,58.317100524902344, 61.13371658325195, 66.36564636230469, 68.76527404785156, 74.38094329833984, 77.09712219238281,7.307637400480218,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0068835666669050015,0.0070693999996365164, 0.006682200000796001, 0.0059157000005143345, 0.007481599999664468, 0.007211000000097556, 0.006941500000721135,, , , , , ,0.247361958026886,0.47480309009552, 0.19154410064220428, 0.19135679304599762, 0.19254939258098602, 0.20865589380264282, 0.22526249289512634,0.11222534772663185,0.15493827160493825,0.15925925925925927, 0.15555555555555556, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037,-0.20972222222222223,-0.21296296296296297, -0.21203703703703702, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334,67.6766357421875,58.317100524902344, 61.13371658325195, 66.36564636230469, 68.76527404785156, 74.38094329833984, 77.09712219238281,7.307637400480218,, , , , , ,6.0, 16.0, 38.0, 49.0, 72.0, 84.0
آبی,blue,1,imgBlue,6.0,68.42414855957031,60.200225830078125, 61.78398513793945, 68.09877014160156, 69.19915771484375, 73.68180847167969, 77.58096313476562,6.692106193840194,, , , , , ,68.42414855957031,60.200225830078125, 61.78398513793945, 68.09877014160156, 69.19915771484375, 73.68180847167969, 77.58096313476562,6.692106193840194,, , , , , ,68.42414855957031,60.200225830078125, 61.78398513793945, 68.09877014160156, 69.19915771484375, 73.68180847167969, 77.58096313476562,6.692106193840194,, , , , , ,68.42414855957031,60.200225830078125, 61.78398513793945, 68.09877014160156, 69.19915771484375, 73.68180847167969, 77.58096313476562,6.692106193840194,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007359716666996974,0.007678900000428257, 0.0014968000004955684, 0.007045200000902696, 0.005793100001028506, 0.013935699999819917, 0.008208599999306898,, , , , , ,0.2484239141146342,0.3425860106945038, 0.16939879953861237, 0.19186189770698547, 0.20764540135860443, 0.20225930213928223, 0.3767921030521393,0.08784438661484602,0.15447530864197528,0.15648148148148147, 0.15555555555555556, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037,-0.20972222222222223,-0.21296296296296297, -0.21203703703703702, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334,68.42414855957031,60.200225830078125, 61.78398513793945, 68.09877014160156, 69.19915771484375, 73.68180847167969, 77.58096313476562,6.692106193840194,, , , , , ,13.0, 19.0, 46.0, 51.0, 69.0, 86.0
آبی,green,0,imgGreen,6.0,67.41571553548177,55.16853713989258, 63.66632080078125, 66.5822982788086, 69.64859008789062, 72.79804992675781, 76.6305160522461,7.531450387326137,, , , , , ,67.41571553548177,55.16853713989258, 63.66632080078125, 66.5822982788086, 69.64859008789062, 72.79804992675781, 76.6305160522461,7.531450387326137,, , , , , ,67.41571553548177,55.16853713989258, 63.66632080078125, 66.5822982788086, 69.64859008789062, 72.79804992675781, 76.6305160522461,7.531450387326137,, , , , , ,67.41571553548177,55.16853713989258, 63.66632080078125, 66.5822982788086, 69.64859008789062, 72.79804992675781, 76.6305160522461,7.531450387326137,, , , , , ,'imgGreen', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008039666666566822,0.008526999999958207, 0.00814029999946797, 0.00782210000033956, 0.008457699999780743, 0.007123700000192912, 0.008167199999661534,, , , , , ,0.28712016344070435,0.5273805260658264, 0.3759452998638153, 0.19208569824695587, 0.2091255933046341, 0.20839959383010864, 0.2097841054201126,0.13631393414078588,0.1450617283950617,0.1, 0.15555555555555556, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037,-0.20972222222222223,-0.21481481481481482, -0.2101851851851852, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334,67.41571553548177,55.16853713989258, 63.66632080078125, 66.5822982788086, 69.64859008789062, 72.79804992675781, 76.6305160522461,7.531450387326137,, , , , , ,1.0, 28.0, 39.0, 53.0, 66.0, 82.0
آبی,yellow,0,imgYellow,6.0,68.59884134928386,57.900386810302734, 62.86630630493164, 66.982177734375, 71.43231964111328, 75.54753875732422, 76.86431884765625,7.410311760999235,, , , , , ,68.59884134928386,57.900386810302734, 62.86630630493164, 66.982177734375, 71.43231964111328, 75.54753875732422, 76.86431884765625,7.410311760999235,, , , , , ,68.59884134928386,57.900386810302734, 62.86630630493164, 66.982177734375, 71.43231964111328, 75.54753875732422, 76.86431884765625,7.410311760999235,, , , , , ,68.59884134928386,57.900386810302734, 62.86630630493164, 66.982177734375, 71.43231964111328, 75.54753875732422, 76.86431884765625,7.410311760999235,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007087883333194138,0.007543300000179443, 0.008240599999226106, 0.006618600000365404, 0.00813449999986915, 0.0051238000005469075, 0.006866499998977815,, , , , , ,0.22790678342183432,0.3924765884876251, 0.17626440525054932, 0.20812129974365234, 0.1925467997789383, 0.1901737004518509, 0.2078579068183899,0.08150790486040439,0.15493827160493825,0.15925925925925927, 0.15555555555555556, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037,-0.2094135802469136,-0.21203703703703702, -0.2111111111111111, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334,68.59884134928386,57.900386810302734, 62.86630630493164, 66.982177734375, 71.43231964111328, 75.54753875732422, 76.86431884765625,7.410311760999235,, , , , , ,5.0, 24.0, 41.0, 60.0, 77.0, 83.0
سبز,red,0,imgRed,6.0,68.493408203125,59.06737518310547, 63.26626968383789, 65.74917602539062, 71.64872741699219, 73.01434326171875, 78.21454620361328,7.051231140865899,, , , , , ,68.493408203125,59.06737518310547, 63.26626968383789, 65.74917602539062, 71.64872741699219, 73.01434326171875, 78.21454620361328,7.051231140865899,, , , , , ,68.493408203125,59.06737518310547, 63.26626968383789, 65.74917602539062, 71.64872741699219, 73.01434326171875, 78.21454620361328,7.051231140865899,, , , , , ,68.493408203125,59.06737518310547, 63.26626968383789, 65.74917602539062, 71.64872741699219, 73.01434326171875, 78.21454620361328,7.051231140865899,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008363466666802802,0.006561900000633614, 0.007485699999961071, 0.007850900000448746, 0.007388399999399553, 0.012103699999897799, 0.008790200000476034,, , , , , ,0.1903564135233561,0.1575412005186081, 0.1758417934179306, 0.19282139837741852, 0.224924698472023, 0.2140783965587616, 0.1769309937953949,0.025422546095852743,0.15462962962962962,0.1574074074074074, 0.15555555555555556, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037,-0.2094135802469136,-0.21296296296296297, -0.2101851851851852, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334,68.493408203125,59.06737518310547, 63.26626968383789, 65.74917602539062, 71.64872741699219, 73.01434326171875, 78.21454620361328,7.051231140865899,, , , , , ,8.0, 26.0, 35.0, 61.0, 67.0, 88.0
سبز,blue,0,imgBlue,6.0,68.42101033528645,59.25038146972656, 61.98321533203125, 66.79899597167969, 70.53199768066406, 74.61439514160156, 77.34709930419922,7.080479024782292,, , , , , ,68.42101033528645,59.25038146972656, 61.98321533203125, 66.79899597167969, 70.53199768066406, 74.61439514160156, 77.34709930419922,7.080479024782292,, , , , , ,68.42101033528645,59.25038146972656, 61.98321533203125, 66.79899597167969, 70.53199768066406, 74.61439514160156, 77.34709930419922,7.080479024782292,, , , , , ,68.42101033528645,59.25038146972656, 61.98321533203125, 66.79899597167969, 70.53199768066406, 74.61439514160156, 77.34709930419922,7.080479024782292,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007637333333301892,0.0060754000005545095, 0.008420600000135892, 0.008714300000065123, 0.007717499999671418, 0.006659800000306859, 0.008236399999077548,, , , , , ,0.22006601095199585,0.3240587115287781, 0.19258460402488708, 0.1603280007839203, 0.22567260265350342, 0.2077953964471817, 0.2099567949771881,0.0555383425342262,0.15462962962962962,0.1574074074074074, 0.15555555555555556, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037, 0.1537037037037037,-0.20972222222222223,-0.21296296296296297, -0.21203703703703702, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334, -0.20833333333333334,68.42101033528645,59.25038146972656, 61.98321533203125, 66.79899597167969, 70.53199768066406, 74.61439514160156, 77.34709930419922,7.080479024782292,, , , , , ,9.0, 20.0, 40.0, 57.0, 73.0, 85.0
