word,colour,congruent,corrAns,n,imgBlue.started_mean,imgBlue.started_raw,,,,,,imgBlue.started_std,imgBlue.stopped_raw,,,,,,imgGreen.started_mean,imgGreen.started_raw,,,,,,imgGreen.started_std,imgGreen.stopped_raw,,,,,,imgRed.started_mean,imgRed.started_raw,,,,,,imgRed.started_std,imgRed.stopped_raw,,,,,,imgYellow.started_mean,imgYellow.started_raw,,,,,,imgYellow.started_std,imgYellow.stopped_raw,,,,,,mouse.clicked_name_raw,,,,,,mouse.leftButton_mean,mouse.leftButton_raw,,,,,,mouse.leftButton_std,mouse.midButton_mean,mouse.midButton_raw,,,,,,mouse.midButton_std,mouse.rightButton_mean,mouse.rightButton_raw,,,,,,mouse.rightButton_std,mouse.started_mean,mouse.started_raw,,,,,,mouse.stopped_raw,,,,,,mouse.time_mean,mouse.time_raw,,,,,,mouse.time_std,mouse.x_mean,mouse.x_raw,,,,,,mouse.y_mean,mouse.y_raw,,,,,,targetTxt.started_mean,targetTxt.started_raw,,,,,,targetTxt.started_std,targetTxt.stopped_raw,,,,,,order,,,,,
قرمز,red,1,imgRed,6.0,81.58944702148438,54.25566482543945, 58.90435028076172, 79.03437805175781, 84.99945831298828, 100.43030548095703, 111.91252899169922,22.60253554531996,, , , , , ,81.58944702148438,54.25566482543945, 58.90435028076172, 79.03437805175781, 84.99945831298828, 100.43030548095703, 111.91252899169922,22.60253554531996,, , , , , ,81.58944702148438,54.25566482543945, 58.90435028076172, 79.03437805175781, 84.99945831298828, 100.43030548095703, 111.91252899169922,22.60253554531996,, , , , , ,81.58944702148438,54.25566482543945, 58.90435028076172, 79.03437805175781, 84.99945831298828, 100.43030548095703, 111.91252899169922,22.60253554531996,, , , , , ,'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.00792368333319852,0.008317999999235326, 0.006529100000079779, 0.008645400000204972, 0.008102300000246032, 0.00791159999971569, 0.008035699999709323,, , , , , ,0.8093429406483968,0.9927964210510254, 0.8916841149330139, 0.7936133742332458, 0.493030309677124, 0.8428367972373962, 0.8420966267585754,0.16907453422026222,-0.22391975308641976,-0.22592592592592592, -0.22592592592592592, -0.2611111111111111, -0.2074074074074074, -0.20925925925925926, -0.21388888888888888,-0.18533950617283954,-0.18055555555555555, -0.17592592592592593, -0.18796296296296297, -0.20185185185185187, -0.18055555555555555, -0.18518518518518517,81.58944702148438,54.25566482543945, 58.90435028076172, 79.03437805175781, 84.99945831298828, 100.43030548095703, 111.91252899169922,22.60253554531996,, , , , , ,14.0, 20.0, 43.0, 50.0, 70.0, 84.0
قرمز,blue,0,imgBlue,6.0,80.8091328938802,42.09008026123047, 65.0533218383789, 77.86827087402344, 87.51641082763672, 98.74800109863281, 113.57875061035156,25.285164437820875,, , , , , ,80.8091328938802,42.09008026123047, 65.0533218383789, 77.86827087402344, 87.51641082763672, 98.74800109863281, 113.57875061035156,25.285164437820875,, , , , , ,80.8091328938802,42.09008026123047, 65.0533218383789, 77.86827087402344, 87.51641082763672, 98.74800109863281, 113.57875061035156,25.285164437820875,, , , , , ,80.8091328938802,42.09008026123047, 65.0533218383789, 77.86827087402344, 87.51641082763672, 98.74800109863281, 113.57875061035156,25.285164437820875,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.01099788333279624,0.014185899999574758, 0.00819609999871318, 0.008169900000211783, 0.012169799999355746, 0.008240799998930015, 0.015024799999991956,, , , , , ,0.8709329764048258,0.9653713703155518, 0.7931697964668274, 1.1423851251602173, 0.8302521109580994, 0.8101748824119568, 0.684244692325592,0.16053098496802154,-0.09691358024691359,-0.09814814814814815, -0.07777777777777778, -0.12407407407407407, -0.049074074074074076, -0.12129629629629629, -0.1111111111111111,-0.18441358024691357,-0.1814814814814815, -0.18518518518518517, -0.18888888888888888, -0.1935185185185185, -0.175, -0.1824074074074074,80.8091328938802,42.09008026123047, 65.0533218383789, 77.86827087402344, 87.51641082763672, 98.74800109863281, 113.57875061035156,25.285164437820875,, , , , , ,0.0, 27.0, 42.0, 54.0, 68.0, 86.0
قرمز,green,0,imgGreen,6.0,83.26119995117188,43.090667724609375, 65.86986541748047, 82.26656341552734, 90.71598815917969, 98.14729309082031, 119.47679138183594,26.479645680890183,, , , , , ,83.26119995117188,43.090667724609375, 65.86986541748047, 82.26656341552734, 90.71598815917969, 98.14729309082031, 119.47679138183594,26.479645680890183,, , , , , ,83.26119995117188,43.090667724609375, 65.86986541748047, 82.26656341552734, 90.71598815917969, 98.14729309082031, 119.47679138183594,26.479645680890183,, , , , , ,83.26119995117188,43.090667724609375, 65.86986541748047, 82.26656341552734, 90.71598815917969, 98.14729309082031, 119.47679138183594,26.479645680890183,, , , , , ,'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.00850981666659815,0.009793599999284197, 0.008595000001150765, 0.008667899999636575, 0.007690599999477854, 0.007771800000227813, 0.008539999999811698,, , , , , ,0.7049015363057455,0.9769238233566284, 0.5630236268043518, 0.6774278283119202, 0.7253161072731018, 0.5760647058486938, 0.7106533050537109,0.14961887375698224,0.047530864197530866,0.049074074074074076, 0.05925925925925926, 0.009259259259259259, 0.02962962962962963, 0.08611111111111111, 0.05185185185185185,-0.17731481481481481,-0.18055555555555555, -0.175, -0.18333333333333332, -0.17777777777777778, -0.16666666666666666, -0.18055555555555555,83.26119995117188,43.090667724609375, 65.86986541748047, 82.26656341552734, 90.71598815917969, 98.14729309082031, 119.47679138183594,26.479645680890183,, , , , , ,1.0, 28.0, 46.0, 58.0, 67.0, 95.0
قرمز,yellow,0,imgYellow,6.0,83.44150797526042,55.27177047729492, 60.48679733276367, 76.26800537109375, 94.7644271850586, 102.74644470214844, 111.11157989501953,22.971434228199293,, , , , , ,83.44150797526042,55.27177047729492, 60.48679733276367, 76.26800537109375, 94.7644271850586, 102.74644470214844, 111.11157989501953,22.971434228199293,, , , , , ,83.44150797526042,55.27177047729492, 60.48679733276367, 76.26800537109375, 94.7644271850586, 102.74644470214844, 111.11157989501953,22.971434228199293,, , , , , ,83.44150797526042,55.27177047729492, 60.48679733276367, 76.26800537109375, 94.7644271850586, 102.74644470214844, 111.11157989501953,22.971434228199293,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008191950000006424,0.008803699999589298, 0.008448100000350678, 0.007700799999838637, 0.007401100000606675, 0.008145400000103109, 0.008652599999550148,, , , , , ,0.8678153355916342,0.8936470746994019, 0.6933177709579468, 0.792762815952301, 1.0414730310440063, 1.008983850479126, 0.7767078280448914,0.13793888663417633,0.1868827160493827,0.1787037037037037, 0.18888888888888888, 0.15185185185185185, 0.23333333333333334, 0.2074074074074074, 0.16111111111111112,-0.17237654320987653,-0.18425925925925926, -0.1648148148148148, -0.17314814814814813, -0.17777777777777778, -0.1638888888888889, -0.17037037037037037,83.44150797526042,55.27177047729492, 60.48679733276367, 76.26800537109375, 94.7644271850586, 102.74644470214844, 111.11157989501953,22.971434228199293,, , , , , ,15.0, 22.0, 40.0, 63.0, 73.0, 83.0
آبی,red,0,imgRed,6.0,82.47239685058594,49.222591400146484, 67.06929779052734, 72.28561401367188, 93.96466064453125, 101.93038177490234, 110.36182403564453,23.388377544617043,, , , , , ,82.47239685058594,49.222591400146484, 67.06929779052734, 72.28561401367188, 93.96466064453125, 101.93038177490234, 110.36182403564453,23.388377544617043,, , , , , ,82.47239685058594,49.222591400146484, 67.06929779052734, 72.28561401367188, 93.96466064453125, 101.93038177490234, 110.36182403564453,23.388377544617043,, , , , , ,82.47239685058594,49.222591400146484, 67.06929779052734, 72.28561401367188, 93.96466064453125, 101.93038177490234, 110.36182403564453,23.388377544617043,, , , , , ,'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008807049999632,0.008514899999681802, 0.009387799999785784, 0.008472999998957675, 0.006923499999174965, 0.008302000000185217, 0.011241100000006554,, , , , , ,0.8800830841064453,0.8434410095214844, 0.8770809769630432, 1.2764379978179932, 0.7769023776054382, 0.7926614880561829, 0.7139744162559509,0.20215328594191434,-0.21604938271604937,-0.19444444444444445, -0.22777777777777777, -0.2490740740740741, -0.22592592592592592, -0.21944444444444444, -0.17962962962962964,-0.1875,-0.19444444444444445, -0.19166666666666668, -0.18796296296296297, -0.18703703703703703, -0.1675925925925926, -0.1962962962962963,82.47239685058594,49.222591400146484, 67.06929779052734, 72.28561401367188, 93.96466064453125, 101.93038177490234, 110.36182403564453,23.388377544617043,, , , , , ,8.0, 30.0, 36.0, 62.0, 72.0, 82.0
آبی,blue,1,imgBlue,6.0,81.40627543131511,52.28825759887695, 57.988441467285156, 74.56874084472656, 85.51721954345703, 103.78059387207031, 114.29440307617188,24.66635245205792,, , , , , ,81.40627543131511,52.28825759887695, 57.988441467285156, 74.56874084472656, 85.51721954345703, 103.78059387207031, 114.29440307617188,24.66635245205792,, , , , , ,81.40627543131511,52.28825759887695, 57.988441467285156, 74.56874084472656, 85.51721954345703, 103.78059387207031, 114.29440307617188,24.66635245205792,, , , , , ,81.40627543131511,52.28825759887695, 57.988441467285156, 74.56874084472656, 85.51721954345703, 103.78059387207031, 114.29440307617188,24.66635245205792,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.009193449999505296,0.014347899998938374, 0.009284299999308132, 0.008351600000423787, 0.008025899998756358, 0.009013099999719998, 0.006137899999885121,, , , , , ,0.785557746887207,1.1483709812164307, 0.8934258222579956, 0.7600662708282471, 0.676276683807373, 0.695034921169281, 0.5401721000671387,0.21178745403324284,-0.10262345679012345,-0.13333333333333333, -0.09166666666666666, -0.05277777777777778, -0.07962962962962963, -0.16111111111111112, -0.09722222222222222,-0.18194444444444444,-0.17314814814814813, -0.17037037037037037, -0.18055555555555555, -0.1925925925925926, -0.19444444444444445, -0.18055555555555555,81.40627543131511,52.28825759887695, 57.988441467285156, 74.56874084472656, 85.51721954345703, 103.78059387207031, 114.29440307617188,24.66635245205792,, , , , , ,12.0, 19.0, 38.0, 51.0, 74.0, 87.0
آبی,green,0,imgGreen,6.0,80.58926900227864,51.605159759521484, 56.187686920166016, 69.60221862792969, 83.58305358886719, 104.98014831542969, 117.5773696899414,26.563992188430245,, , , , , ,80.58926900227864,51.605159759521484, 56.187686920166016, 69.60221862792969, 83.58305358886719, 104.98014831542969, 117.5773696899414,26.563992188430245,, , , , , ,80.58926900227864,51.605159759521484, 56.187686920166016, 69.60221862792969, 83.58305358886719, 104.98014831542969, 117.5773696899414,26.563992188430245,, , , , , ,80.58926900227864,51.605159759521484, 56.187686920166016, 69.60221862792969, 83.58305358886719, 104.98014831542969, 117.5773696899414,26.563992188430245,, , , , , ,'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008316533333224166,0.007231900000078895, 0.007958500000313506, 0.013990399999784131, 0.00852989999930287, 0.0052445999999690684, 0.00694389999989653,, , , , , ,0.5846198399861654,0.6764280796051025, 0.5267242193222046, 0.5317034721374512, 0.44278019666671753, 0.7717152237892151, 0.558367908000946,0.11865338489116024,0.04969135802469136,0.08796296296296297, 0.03611111111111111, 0.062037037037037036, 0.009259259259259259, 0.05740740740740741, 0.04537037037037037,-0.17777777777777778,-0.1648148148148148, -0.18611111111111112, -0.17037037037037037, -0.18333333333333332, -0.18796296296296297, -0.17407407407407408,80.58926900227864,51.605159759521484, 56.187686920166016, 69.60221862792969, 83.58305358886719, 104.98014831542969, 117.5773696899414,26.563992188430245,, , , , , ,11.0, 16.0, 33.0, 48.0, 75.0, 92.0
آبی,yellow,0,imgYellow,6.0,80.66695658365886,47.65575408935547, 66.45252990722656, 75.3511734008789, 88.36540222167969, 96.63195037841797, 109.54491424560547,22.217697889472426,, , , , , ,80.66695658365886,47.65575408935547, 66.45252990722656, 75.3511734008789, 88.36540222167969, 96.63195037841797, 109.54491424560547,22.217697889472426,, , , , , ,80.66695658365886,47.65575408935547, 66.45252990722656, 75.3511734008789, 88.36540222167969, 96.63195037841797, 109.54491424560547,22.217697889472426,, , , , , ,80.66695658365886,47.65575408935547, 66.45252990722656, 75.3511734008789, 88.36540222167969, 96.63195037841797, 109.54491424560547,22.217697889472426,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008249116666623499,0.008898499999304477, 0.006131800000730436, 0.008254599999418133, 0.005129300000589865, 0.00814399999944726, 0.012936500000250817,, , , , , ,0.7931443850199381,0.8264216780662537, 0.5908036231994629, 0.8936198949813843, 0.7737991213798523, 0.8765143156051636, 0.7977073192596436,0.10907804100602368,0.16651234567901238,0.20185185185185187, 0.16203703703703703, 0.17314814814814813, 0.15, 0.15185185185185185, 0.16018518518518518,-0.18287037037037035,-0.19722222222222222, -0.16666666666666666, -0.17592592592592593, -0.17685185185185184, -0.17222222222222222, -0.20833333333333334,80.66695658365886,47.65575408935547, 66.45252990722656, 75.3511734008789, 88.36540222167969, 96.63195037841797, 109.54491424560547,22.217697889472426,, , , , , ,6.0, 29.0, 39.0, 55.0, 65.0, 81.0
سبز,red,0,imgRed,6.0,84.622314453125,44.08979034423828, 67.97003936767578, 77.08470916748047, 93.16565704345703, 106.56236267089844, 118.86134338378906,27.216409719615797,, , , , , ,84.622314453125,44.08979034423828, 67.97003936767578, 77.08470916748047, 93.16565704345703, 106.56236267089844, 118.86134338378906,27.216409719615797,, , , , , ,84.622314453125,44.08979034423828, 67.97003936767578, 77.08470916748047, 93.16565704345703, 106.56236267089844, 118.86134338378906,27.216409719615797,, , , , , ,84.622314453125,44.08979034423828, 67.97003936767578, 77.08470916748047, 93.16565704345703, 106.56236267089844, 118.86134338378906,27.216409719615797,, , , , , ,'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008930583333039976,0.009371899999678135, 0.00994659999923897, 0.00856599999951868, 0.008317699999679462, 0.00895790000049601, 0.0084233999996286,, , , , , ,0.7689898808797201,0.7774263024330139, 0.9277276992797852, 0.7604758739471436, 0.7781255841255188, 0.7772049903869629, 0.5929791927337646,0.10627517861919492,-0.23070987654320987,-0.25555555555555554, -0.2037037037037037, -0.2351851851851852, -0.2361111111111111, -0.21296296296296297, -0.24074074074074073,-0.18132716049382713,-0.18518518518518517, -0.18055555555555555, -0.18888888888888888, -0.19074074074074074, -0.16666666666666666, -0.17592592592592593,84.622314453125,44.08979034423828, 67.97003936767578, 77.08470916748047, 93.16565704345703, 106.56236267089844, 118.86134338378906,27.216409719615797,, , , , , ,2.0, 31.0, 41.0, 61.0, 77.0, 94.0
سبز,blue,0,imgBlue,6.0,83.2332763671875,50.08935546875, 62.086647033691406, 80.7505874633789, 92.39823150634766, 101.29672241210938, 112.77810668945312,23.811949325392668,, , , , , ,83.2332763671875,50.08935546875, 62.086647033691406, 80.7505874633789, 92.39823150634766, 101.29672241210938, 112.77810668945312,23.811949325392668,, , , , , ,83.2332763671875,50.08935546875, 62.086647033691406, 80.7505874633789, 92.39823150634766, 101.29672241210938, 112.77810668945312,23.811949325392668,, , , , , ,83.2332763671875,50.08935546875, 62.086647033691406, 80.7505874633789, 92.39823150634766, 101.29672241210938, 112.77810668945312,23.811949325392668,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008764299999863093,0.008916600000702601, 0.008916499999941152, 0.008313499999530904, 0.008048699999562814, 0.008702099999936763, 0.009688399999504327,, , , , , ,0.8519752820332845,0.5938541889190674, 0.8758878707885742, 1.4924139976501465, 0.7436156868934631, 0.610592782497406, 0.7954875826835632,0.33183074968764203,-0.08811728395061728,-0.1, -0.09444444444444444, -0.12685185185185185, -0.07222222222222222, -0.07685185185185185, -0.058333333333333334,-0.18364197530864199,-0.18796296296296297, -0.1787037037037037, -0.19814814814814816, -0.19166666666666668, -0.1685185185185185, -0.17685185185185184,83.2332763671875,50.08935546875, 62.086647033691406, 80.7505874633789, 92.39823150634766, 101.29672241210938, 112.77810668945312,23.811949325392668,, , , , , ,9.0, 24.0, 45.0, 60.0, 71.0, 85.0
