word,colour,congruent,corrAns,n,imgBlue.started_mean,imgBlue.started_raw,,,,,imgBlue.started_std,imgBlue.stopped_raw,,,,,imgGreen.started_mean,imgGreen.started_raw,,,,,imgGreen.started_std,imgGreen.stopped_raw,,,,,imgRed.started_mean,imgRed.started_raw,,,,,imgRed.started_std,imgRed.stopped_raw,,,,,imgYellow.started_mean,imgYellow.started_raw,,,,,imgYellow.started_std,imgYellow.stopped_raw,,,,,mouse.clicked_name_raw,,,,,mouse.leftButton_mean,mouse.leftButton_raw,,,,,mouse.leftButton_std,mouse.midButton_mean,mouse.midButton_raw,,,,,mouse.midButton_std,mouse.rightButton_mean,mouse.rightButton_raw,,,,,mouse.rightButton_std,mouse.started_mean,mouse.started_raw,,,,,mouse.stopped_raw,,,,,mouse.time_mean,mouse.time_raw,,,,,mouse.time_std,mouse.x_mean,mouse.x_raw,,,,,mouse.y_mean,mouse.y_raw,,,,,targetTxt.started_mean,targetTxt.started_raw,,,,,targetTxt.started_std,targetTxt.stopped_raw,,,,,order,,,,
قرمز,red,1,imgRed,5.0,145.40101318359376,112.40640258789062, 127.9202651977539, 146.0182342529297, 161.96542358398438, 178.69476318359375,26.350784245113225,, , , , ,145.40101318359376,112.40640258789062, 127.9202651977539, 146.0182342529297, 161.96542358398438, 178.69476318359375,26.350784245113225,, , , , ,145.40101318359376,112.40640258789062, 127.9202651977539, 146.0182342529297, 161.96542358398438, 178.69476318359375,26.350784245113225,, , , , ,145.40101318359376,112.40640258789062, 127.9202651977539, 146.0182342529297, 161.96542358398438, 178.69476318359375,26.350784245113225,, , , , ,'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.005527758000243921,0.004670220005209558, 0.006090620001486968, 0.006890519995067734, 0.008002520000445656, 0.0019849099990096875,, , , , ,129.304248046875,96.22241973876953, 112.00447845458984, 129.86883544921875, 145.94749450683594, 162.47801208496094,26.322539886329427,-0.03222222222222222,-0.026851851851851852, -0.03518518518518519, -0.041666666666666664, -0.027777777777777776, -0.02962962962962963,-0.1524074074074074,-0.1574074074074074, -0.15555555555555556, -0.14629629629629629, -0.15, -0.1527777777777778,145.40101318359376,112.40640258789062, 127.9202651977539, 146.0182342529297, 161.96542358398438, 178.69476318359375,26.350784245113225,, , , , ,6.0, 22.0, 41.0, 59.0, 78.0
قرمز,blue,0,imgBlue,5.0,145.610888671875,119.4716567993164, 134.286376953125, 149.33348083496094, 154.2328338623047, 170.73008728027344,19.561913113005446,, , , , ,145.610888671875,119.4716567993164, 134.286376953125, 149.33348083496094, 154.2328338623047, 170.73008728027344,19.561913113005446,, , , , ,145.610888671875,119.4716567993164, 134.286376953125, 149.33348083496094, 154.2328338623047, 170.73008728027344,19.561913113005446,, , , , ,145.610888671875,119.4716567993164, 134.286376953125, 149.33348083496094, 154.2328338623047, 170.73008728027344,19.561913113005446,, , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006758559997251723,0.007690519996685907, 0.0061401199927786365, 0.007739720000245143, 0.004443320001882967, 0.007779119994665962,, , , , ,129.4068115234375,103.10489654541016, 118.1524429321289, 133.0657501220703, 138.03189086914062, 154.67909240722656,19.6527323186738,0.0011111111111111113,0.000925925925925926, -0.003703703703703704, 0.005555555555555556, 0.003703703703703704, -0.000925925925925926,-0.1562962962962963,-0.1537037037037037, -0.16111111111111112, -0.15833333333333333, -0.15462962962962962, -0.1537037037037037,145.610888671875,119.4716567993164, 134.286376953125, 149.33348083496094, 154.2328338623047, 170.73008728027344,19.561913113005446,, , , , ,13.0, 29.0, 44.0, 50.0, 68.0
قرمز,green,0,imgGreen,5.0,143.74808349609376,109.6068344116211, 125.00421142578125, 147.36746215820312, 163.01544189453125, 173.74647521972656,26.46314482820561,, , , , ,143.74808349609376,109.6068344116211, 125.00421142578125, 147.36746215820312, 163.01544189453125, 173.74647521972656,26.46314482820561,, , , , ,143.74808349609376,109.6068344116211, 125.00421142578125, 147.36746215820312, 163.01544189453125, 173.74647521972656,26.46314482820561,, , , , ,143.74808349609376,109.6068344116211, 125.00421142578125, 147.36746215820312, 163.01544189453125, 173.74647521972656,26.46314482820561,, , , , ,'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006925539999792818,0.005712420002964791, 0.00573991999408463, 0.007633920002263039, 0.008315619998029433, 0.007225820001622196,, , , , ,127.660888671875,93.70556640625, 108.85487365722656, 131.18341064453125, 146.98207092285156, 157.57852172851562,26.397969255364725,0.02796296296296296,0.03425925925925926, 0.03148148148148148, 0.025, 0.032407407407407406, 0.016666666666666666,-0.15462962962962962,-0.15648148148148147, -0.15185185185185185, -0.1574074074074074, -0.15555555555555556, -0.15185185185185185,143.74808349609376,109.6068344116211, 125.00421142578125, 147.36746215820312, 163.01544189453125, 173.74647521972656,26.46314482820561,, , , , ,3.0, 19.0, 42.0, 60.0, 72.0
قرمز,yellow,0,imgYellow,5.0,142.1580078125,108.77372741699219, 124.12104797363281, 138.6185302734375, 166.01412963867188, 173.2625732421875,27.33577572595658,, , , , ,142.1580078125,108.77372741699219, 124.12104797363281, 138.6185302734375, 166.01412963867188, 173.2625732421875,27.33577572595658,, , , , ,142.1580078125,108.77372741699219, 124.12104797363281, 138.6185302734375, 166.01412963867188, 173.2625732421875,27.33577572595658,, , , , ,142.1580078125,108.77372741699219, 124.12104797363281, 138.6185302734375, 166.01412963867188, 173.2625732421875,27.33577572595658,, , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006368800000927877,0.006661819999862928, 0.006866920004540589, 0.005225619999691844, 0.00717382000584621, 0.005915819994697813,, , , , ,125.930908203125,92.54045104980469, 107.93708801269531, 122.650634765625, 149.8472900390625, 156.67910766601562,27.234653835279747,0.06277777777777778,0.06111111111111111, 0.06944444444444445, 0.05925925925925926, 0.06018518518518518, 0.06388888888888888,-0.15925925925925927,-0.15833333333333333, -0.1574074074074074, -0.16203703703703703, -0.1537037037037037, -0.1648148148148148,142.1580078125,108.77372741699219, 124.12104797363281, 138.6185302734375, 166.01412963867188, 173.2625732421875,27.33577572595658,, , , , ,2.0, 18.0, 34.0, 63.0, 71.0
آبی,red,0,imgRed,5.0,145.12779541015624,118.68850708007812, 130.57069396972656, 142.55227661132812, 164.04783630371094, 169.7796630859375,21.69827754770579,, , , , ,145.12779541015624,118.68850708007812, 130.57069396972656, 142.55227661132812, 164.04783630371094, 169.7796630859375,21.69827754770579,, , , , ,145.12779541015624,118.68850708007812, 130.57069396972656, 142.55227661132812, 164.04783630371094, 169.7796630859375,21.69827754770579,, , , , ,145.12779541015624,118.68850708007812, 130.57069396972656, 142.55227661132812, 164.04783630371094, 169.7796630859375,21.69827754770579,, , , , ,'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.005573721999826376,0.006125630003225524, 0.008173720001650508, 0.007018620002781972, 0.005494919991178904, 0.0010557200002949685,, , , , ,128.9807861328125,102.40547943115234, 114.40421295166016, 126.40081787109375, 148.0306396484375, 153.66275024414062,21.78001331257587,-0.03203703703703704,-0.025, -0.037037037037037035, -0.025925925925925925, -0.03333333333333333, -0.03888888888888889,-0.15425925925925926,-0.1537037037037037, -0.15648148148148147, -0.15555555555555556, -0.15555555555555556, -0.15,145.12779541015624,118.68850708007812, 130.57069396972656, 142.55227661132812, 164.04783630371094, 169.7796630859375,21.69827754770579,, , , , ,12.0, 25.0, 37.0, 61.0, 67.0
آبی,blue,1,imgBlue,5.0,143.7345703125,120.95536804199219, 133.5027313232422, 136.9026641845703, 159.24864196777344, 168.0634307861328,19.383223401914478,, , , , ,143.7345703125,120.95536804199219, 133.5027313232422, 136.9026641845703, 159.24864196777344, 168.0634307861328,19.383223401914478,, , , , ,143.7345703125,120.95536804199219, 133.5027313232422, 136.9026641845703, 159.24864196777344, 168.0634307861328,19.383223401914478,, , , , ,143.7345703125,120.95536804199219, 133.5027313232422, 136.9026641845703, 159.24864196777344, 168.0634307861328,19.383223401914478,, , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006643059999623802,0.006642719999945257, 0.006115020005381666, 0.006994019997364376, 0.006749719999788795, 0.006713819995638914,, , , , ,127.58770751953125,104.7720947265625, 117.220947265625, 120.55164337158203, 143.29714965820312, 152.0967254638672,19.525666677982898,1.7347234759768072e-19,-0.004629629629629629, -0.000925925925925926, 0.0, 0.005555555555555556, 0.0,-0.1572222222222222,-0.1574074074074074, -0.15925925925925927, -0.15925925925925927, -0.15462962962962962, -0.15555555555555556,143.7345703125,120.95536804199219, 133.5027313232422, 136.9026641845703, 159.24864196777344, 168.0634307861328,19.383223401914478,, , , , ,15.0, 28.0, 32.0, 56.0, 65.0
آبی,green,0,imgGreen,5.0,140.5916259765625,110.77439880371094, 121.8545913696289, 139.71800231933594, 155.54891967773438, 175.06228637695312,25.752930822216648,, , , , ,140.5916259765625,110.77439880371094, 121.8545913696289, 139.71800231933594, 155.54891967773438, 175.06228637695312,25.752930822216648,, , , , ,140.5916259765625,110.77439880371094, 121.8545913696289, 139.71800231933594, 155.54891967773438, 175.06228637695312,25.752930822216648,, , , , ,140.5916259765625,110.77439880371094, 121.8545913696289, 139.71800231933594, 155.54891967773438, 175.06228637695312,25.752930822216648,, , , , ,'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.010238023997226264,0.008301119996758644, 0.013697729998966679, 0.015864529996179044, 0.006139319993962999, 0.0071874200002639554,, , , , ,124.3013671875,94.47320556640625, 105.58832550048828, 123.50111389160156, 139.43167114257812, 158.5125274658203,25.68981873025528,0.027592592592592592,0.03425925925925926, 0.023148148148148147, 0.023148148148148147, 0.02962962962962963, 0.027777777777777776,-0.15574074074074076,-0.15648148148148147, -0.1574074074074074, -0.15925925925925927, -0.1527777777777778, -0.1527777777777778,140.5916259765625,110.77439880371094, 121.8545913696289, 139.71800231933594, 155.54891967773438, 175.06228637695312,25.752930822216648,, , , , ,4.0, 16.0, 35.0, 52.0, 73.0
آبی,yellow,0,imgYellow,5.0,144.8774658203125,114.7727279663086, 129.76983642578125, 151.68283081054688, 161.2649383544922, 166.89698791503906,21.990096118308312,, , , , ,144.8774658203125,114.7727279663086, 129.76983642578125, 151.68283081054688, 161.2649383544922, 166.89698791503906,21.990096118308312,, , , , ,144.8774658203125,114.7727279663086, 129.76983642578125, 151.68283081054688, 161.2649383544922, 166.89698791503906,21.990096118308312,, , , , ,144.8774658203125,114.7727279663086, 129.76983642578125, 151.68283081054688, 161.2649383544922, 166.89698791503906,21.990096118308312,, , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007997539995994885,0.007814520002284553, 0.007346719998167828, 0.005925619989284314, 0.006523819996800739, 0.012377019993436988,, , , , ,128.7571533203125,98.75627136230469, 113.50286865234375, 135.6323699951172, 144.89669799804688, 150.99752807617188,21.995078398365102,0.062407407407407425,0.06759259259259259, 0.0712962962962963, 0.058333333333333334, 0.05925925925925926, 0.05555555555555555,-0.15833333333333333,-0.16574074074074074, -0.15833333333333333, -0.1537037037037037, -0.16111111111111112, -0.1527777777777778,144.8774658203125,114.7727279663086, 129.76983642578125, 151.68283081054688, 161.2649383544922, 166.89698791503906,21.990096118308312,, , , , ,8.0, 24.0, 47.0, 58.0, 64.0
سبز,red,0,imgRed,5.0,146.50765380859374,113.27383422851562, 131.47055053710938, 150.7506561279297, 157.4984893798828, 179.5447540283203,25.30243449178226,, , , , ,146.50765380859374,113.27383422851562, 131.47055053710938, 150.7506561279297, 157.4984893798828, 179.5447540283203,25.30243449178226,, , , , ,146.50765380859374,113.27383422851562, 131.47055053710938, 150.7506561279297, 157.4984893798828, 179.5447540283203,25.30243449178226,, , , , ,146.50765380859374,113.27383422851562, 131.47055053710938, 150.7506561279297, 157.4984893798828, 179.5447540283203,25.30243449178226,, , , , ,'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.010180341996601783,0.015931419991829898, 0.013485519993992057, 0.007009119995927904, 0.011115230001450982, 0.003360419999808073,, , , , ,130.3899169921875,97.15620422363281, 115.46920013427734, 134.61639404296875, 141.2808380126953, 163.4269561767578,25.273645774577485,-0.026481481481481484,-0.021296296296296296, -0.028703703703703703, -0.03425925925925926, -0.027777777777777776, -0.020370370370370372,-0.15462962962962962,-0.15925925925925927, -0.15555555555555556, -0.15092592592592594, -0.1527777777777778, -0.15462962962962962,146.50765380859374,113.27383422851562, 131.47055053710938, 150.7506561279297, 157.4984893798828, 179.5447540283203,25.30243449178226,, , , , ,7.0, 26.0, 46.0, 54.0, 79.0
سبز,blue,0,imgBlue,5.0,142.61158447265626,111.5401840209961, 127.12100982666016, 150.13351440429688, 155.09959411621094, 169.1636505126953,23.03764231990345,, , , , ,142.61158447265626,111.5401840209961, 127.12100982666016, 150.13351440429688, 155.09959411621094, 169.1636505126953,23.03764231990345,, , , , ,142.61158447265626,111.5401840209961, 127.12100982666016, 150.13351440429688, 155.09959411621094, 169.1636505126953,23.03764231990345,, , , , ,142.61158447265626,111.5401840209961, 127.12100982666016, 150.13351440429688, 155.09959411621094, 169.1636505126953,23.03764231990345,, , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007901280000805855,0.00824582000495866, 0.006202320000738837, 0.00882922000164399, 0.008484120000503026, 0.007744919996184763,, , , , ,126.2147216796875,95.34058380126953, 110.85411071777344, 133.68310546875, 138.4821014404297, 152.71365356445312,22.89988816843482,0.0014814814814814816,-0.000925925925925926, 0.0, 0.005555555555555556, 0.002777777777777778, 0.0,-0.15703703703703703,-0.1574074074074074, -0.16018518518518518, -0.15833333333333333, -0.1537037037037037, -0.15555555555555556,142.61158447265626,111.5401840209961, 127.12100982666016, 150.13351440429688, 155.09959411621094, 169.1636505126953,23.03764231990345,, , , , ,5.0, 21.0, 45.0, 51.0, 66.0
