word,colour,congruent,corrAns,n,imgBlue.started_mean,imgBlue.started_raw,,,,,,imgBlue.started_std,imgBlue.stopped_raw,,,,,,imgGreen.started_mean,imgGreen.started_raw,,,,,,imgGreen.started_std,imgGreen.stopped_raw,,,,,,imgRed.started_mean,imgRed.started_raw,,,,,,imgRed.started_std,imgRed.stopped_raw,,,,,,imgYellow.started_mean,imgYellow.started_raw,,,,,,imgYellow.started_std,imgYellow.stopped_raw,,,,,,mouse.clicked_name_raw,,,,,,mouse.leftButton_mean,mouse.leftButton_raw,,,,,,mouse.leftButton_std,mouse.midButton_mean,mouse.midButton_raw,,,,,,mouse.midButton_std,mouse.rightButton_mean,mouse.rightButton_raw,,,,,,mouse.rightButton_std,mouse.started_mean,mouse.started_raw,,,,,,mouse.stopped_raw,,,,,,mouse.time_mean,mouse.time_raw,,,,,,mouse.time_std,mouse.x_raw,,,,,,mouse.y_raw,,,,,,targetTxt.started_mean,targetTxt.started_raw,,,,,,targetTxt.started_std,targetTxt.stopped_raw,,,,,,order,,,,,
قرمز,red,1,imgRed,6.0,86.6879170735677,52.404937744140625, 65.9857406616211, 81.03372192382812, 93.89749908447266, 102.36277770996094, 124.44281768798828,25.919045321275664,, , , , , ,86.6879170735677,52.404937744140625, 65.9857406616211, 81.03372192382812, 93.89749908447266, 102.36277770996094, 124.44281768798828,25.919045321275664,, , , , , ,86.6879170735677,52.404937744140625, 65.9857406616211, 81.03372192382812, 93.89749908447266, 102.36277770996094, 124.44281768798828,25.919045321275664,, , , , , ,86.6879170735677,52.404937744140625, 65.9857406616211, 81.03372192382812, 93.89749908447266, 102.36277770996094, 124.44281768798828,25.919045321275664,, , , , , ,'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0075846349999058775,0.009356619999834948, 0.0028912099996887264, 0.009172620000299503, 0.00820551999959207, 0.008978620000107185, 0.006903219999912835,, , , , , ,0.9510817527770996,1.1964046955108643, 0.8873419761657715, 0.9772648811340332, 0.8097141981124878, 0.8596993088722229, 0.9760655164718628,0.1370338546336688,-0.03333333333333333, -0.026851851851851852, -0.030555555555555555, -0.026851851851851852, -0.030555555555555555, -0.03333333333333333,-0.16296296296296298, -0.16018518518518518, -0.16203703703703703, -0.16203703703703703, -0.1574074074074074, -0.15833333333333333,86.6879170735677,52.404937744140625, 65.9857406616211, 81.03372192382812, 93.89749908447266, 102.36277770996094, 124.44281768798828,25.919045321275664,, , , , , ,11.0, 25.0, 42.0, 55.0, 65.0, 92.0
قرمز,blue,0,imgBlue,6.0,86.1550801595052,55.454383850097656, 57.221588134765625, 77.10092163085938, 99.39723205566406, 113.16216278076172, 114.59415435791016,26.740140392693114,, , , , , ,86.1550801595052,55.454383850097656, 57.221588134765625, 77.10092163085938, 99.39723205566406, 113.16216278076172, 114.59415435791016,26.740140392693114,, , , , , ,86.1550801595052,55.454383850097656, 57.221588134765625, 77.10092163085938, 99.39723205566406, 113.16216278076172, 114.59415435791016,26.740140392693114,, , , , , ,86.1550801595052,55.454383850097656, 57.221588134765625, 77.10092163085938, 99.39723205566406, 113.16216278076172, 114.59415435791016,26.740140392693114,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007366834999857019,0.00817512000003262, 0.0017517100000077335, 0.00867861999950037, 0.008908919999612408, 0.008637820000330976, 0.008048819999658008,, , , , , ,0.7786660194396973,0.7596768140792847, 0.60567307472229, 1.0606266260147095, 0.760478675365448, 0.709012508392334, 0.7765284776687622,0.15164161214712232,-0.004629629629629629, -0.000925925925925926, -0.000925925925925926, 0.002777777777777778, 0.0, 0.003703703703703704,-0.1574074074074074, -0.15925925925925927, -0.15648148148148147, -0.16018518518518518, -0.15555555555555556, -0.16111111111111112,86.1550801595052,55.454383850097656, 57.221588134765625, 77.10092163085938, 99.39723205566406, 113.16216278076172, 114.59415435791016,26.740140392693114,, , , , , ,14.0, 16.0, 38.0, 61.0, 78.0, 80.0
قرمز,green,0,imgGreen,6.0,82.48581949869792,44.523193359375, 63.02046585083008, 75.45063018798828, 88.58177947998047, 104.14570617675781, 119.19310760498047,27.28842715799324,, , , , , ,82.48581949869792,44.523193359375, 63.02046585083008, 75.45063018798828, 88.58177947998047, 104.14570617675781, 119.19310760498047,27.28842715799324,, , , , , ,82.48581949869792,44.523193359375, 63.02046585083008, 75.45063018798828, 88.58177947998047, 104.14570617675781, 119.19310760498047,27.28842715799324,, , , , , ,82.48581949869792,44.523193359375, 63.02046585083008, 75.45063018798828, 88.58177947998047, 104.14570617675781, 119.19310760498047,27.28842715799324,, , , , , ,'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.007489169999795801,0.006584320000001753, 0.008173919999535428, 0.007585120000385359, 0.006504919999770209, 0.008124019999740995, 0.007962719999341061,, , , , , ,0.8535855611165365,1.6236002445220947, 0.576542317867279, 0.6773853898048401, 0.6412100195884705, 0.5932396054267883, 1.009535789489746,0.4093716972809684,0.03333333333333333, 0.018518518518518517, 0.037037037037037035, 0.032407407407407406, 0.03796296296296296, 0.030555555555555555,-0.15925925925925927, -0.1638888888888889, -0.15462962962962962, -0.16203703703703703, -0.15648148148148147, -0.15555555555555556,82.48581949869792,44.523193359375, 63.02046585083008, 75.45063018798828, 88.58177947998047, 104.14570617675781, 119.19310760498047,27.28842715799324,, , , , , ,5.0, 22.0, 36.0, 49.0, 67.0, 86.0
قرمز,yellow,0,imgYellow,6.0,86.0157979329427,42.18989562988281, 68.78569793701172, 83.8496322631836, 92.58112335205078, 103.24617004394531, 125.4422607421875,28.693948919056574,, , , , , ,86.0157979329427,42.18989562988281, 68.78569793701172, 83.8496322631836, 92.58112335205078, 103.24617004394531, 125.4422607421875,28.693948919056574,, , , , , ,86.0157979329427,42.18989562988281, 68.78569793701172, 83.8496322631836, 92.58112335205078, 103.24617004394531, 125.4422607421875,28.693948919056574,, , , , , ,86.0157979329427,42.18989562988281, 68.78569793701172, 83.8496322631836, 92.58112335205078, 103.24617004394531, 125.4422607421875,28.693948919056574,, , , , , ,'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008124753333277113,0.00868562000005113, 0.008014120000098046, 0.00783711999974912, 0.009241919999567472, 0.007403620000332012, 0.007566119999864895,, , , , , ,0.9095853964487711,0.960417628288269, 0.8593087792396545, 0.8585063219070435, 0.8618363738059998, 0.8750944137573242, 1.0423489809036255,0.07591639124125789,0.06481481481481481, 0.05925925925925926, 0.07314814814814814, 0.07592592592592592, 0.06111111111111111, 0.06018518518518518,-0.16111111111111112, -0.15833333333333333, -0.1574074074074074, -0.15648148148148147, -0.15648148148148147, -0.15462962962962962,86.0157979329427,42.18989562988281, 68.78569793701172, 83.8496322631836, 92.58112335205078, 103.24617004394531, 125.4422607421875,28.693948919056574,, , , , , ,3.0, 28.0, 45.0, 54.0, 66.0, 93.0
آبی,red,0,imgRed,6.0,85.54374186197917,47.80533218383789, 69.66837310791016, 76.15072631835938, 91.59919738769531, 111.59454345703125, 116.44426727294922,26.209154565373833,, , , , , ,85.54374186197917,47.80533218383789, 69.66837310791016, 76.15072631835938, 91.59919738769531, 111.59454345703125, 116.44426727294922,26.209154565373833,, , , , , ,85.54374186197917,47.80533218383789, 69.66837310791016, 76.15072631835938, 91.59919738769531, 111.59454345703125, 116.44426727294922,26.209154565373833,, , , , , ,85.54374186197917,47.80533218383789, 69.66837310791016, 76.15072631835938, 91.59919738769531, 111.59454345703125, 116.44426727294922,26.209154565373833,, , , , , ,'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.00734010333333875,0.0037522200000239536, 0.008520019999650685, 0.008123619999878429, 0.007276020000062999, 0.008544920000076672, 0.007823820000339765,, , , , , ,0.8808214664459229,0.8885616064071655, 1.0267213582992554, 0.9250404834747314, 0.9571037888526917, 0.6952146887779236, 0.7922868728637695,0.11950669651969567,-0.027777777777777776, -0.030555555555555555, -0.037037037037037035, -0.024074074074074074, -0.03981481481481482, -0.03611111111111111,-0.15833333333333333, -0.16111111111111112, -0.1574074074074074, -0.15833333333333333, -0.15462962962962962, -0.16296296296296298,85.54374186197917,47.80533218383789, 69.66837310791016, 76.15072631835938, 91.59919738769531, 111.59454345703125, 116.44426727294922,26.209154565373833,, , , , , ,7.0, 29.0, 37.0, 53.0, 76.0, 82.0
آبی,blue,1,imgBlue,6.0,80.50310770670573,39.957298278808594, 57.853816986083984, 74.03459167480469, 90.93223571777344, 101.66309356689453, 118.57759857177734,28.999907928386957,, , , , , ,80.50310770670573,39.957298278808594, 57.853816986083984, 74.03459167480469, 90.93223571777344, 101.66309356689453, 118.57759857177734,28.999907928386957,, , , , , ,80.50310770670573,39.957298278808594, 57.853816986083984, 74.03459167480469, 90.93223571777344, 101.66309356689453, 118.57759857177734,28.999907928386957,, , , , , ,80.50310770670573,39.957298278808594, 57.853816986083984, 74.03459167480469, 90.93223571777344, 101.66309356689453, 118.57759857177734,28.999907928386957,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.006160968333081958,0.006023419999564794, 0.006699419999677048, 0.009017219999350345, 0.007862519999889628, 0.007028619999800867, 0.00033461000020906795,, , , , , ,0.7856773535410563,0.9567617774009705, 0.97481369972229, 0.8785812854766846, 0.6441743969917297, 0.6752845048904419, 0.584448516368866,0.17110014071206137,-0.000925925925925926, -0.000925925925925926, -0.004629629629629629, -0.005555555555555556, -0.001851851851851852, -0.001851851851851852,-0.1574074074074074, -0.15925925925925927, -0.16111111111111112, -0.15555555555555556, -0.16018518518518518, -0.16111111111111112,80.50310770670573,39.957298278808594, 57.853816986083984, 74.03459167480469, 90.93223571777344, 101.66309356689453, 118.57759857177734,28.999907928386957,, , , , , ,1.0, 17.0, 34.0, 52.0, 64.0, 85.0
آبی,green,0,imgGreen,6.0,84.5803934733073,40.94050598144531, 67.80286407470703, 79.50057983398438, 94.7319107055664, 106.49588775634766, 118.0106201171875,27.973744922271475,, , , , , ,84.5803934733073,40.94050598144531, 67.80286407470703, 79.50057983398438, 94.7319107055664, 106.49588775634766, 118.0106201171875,27.973744922271475,, , , , , ,84.5803934733073,40.94050598144531, 67.80286407470703, 79.50057983398438, 94.7319107055664, 106.49588775634766, 118.0106201171875,27.973744922271475,, , , , , ,84.5803934733073,40.94050598144531, 67.80286407470703, 79.50057983398438, 94.7319107055664, 106.49588775634766, 118.0106201171875,27.973744922271475,, , , , , ,'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen', 'imgGreen',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008776720000014393,0.008995319999939966, 0.008825619999697665, 0.00920592000011311, 0.008026119999613002, 0.008955920000516926, 0.00865142000020569,, , , , , ,0.8272178967793783,1.2278960943222046, 0.9600808024406433, 0.6939408183097839, 0.8096300959587097, 0.7108138203620911, 0.5609456896781921,0.23694660890214012,0.03148148148148148, 0.028703703703703703, 0.03333333333333333, 0.03611111111111111, 0.02962962962962963, 0.032407407407407406,-0.16296296296296298, -0.15648148148148147, -0.1527777777777778, -0.16111111111111112, -0.15185185185185185, -0.1638888888888889,84.5803934733073,40.94050598144531, 67.80286407470703, 79.50057983398438, 94.7319107055664, 106.49588775634766, 118.0106201171875,27.973744922271475,, , , , , ,2.0, 27.0, 40.0, 56.0, 70.0, 84.0
آبی,yellow,0,imgYellow,6.0,83.53860982259114,48.72233963012695, 58.853607177734375, 72.45118713378906, 90.1490707397461, 110.82856750488281, 120.22689819335938,28.561944804185053,, , , , , ,83.53860982259114,48.72233963012695, 58.853607177734375, 72.45118713378906, 90.1490707397461, 110.82856750488281, 120.22689819335938,28.561944804185053,, , , , , ,83.53860982259114,48.72233963012695, 58.853607177734375, 72.45118713378906, 90.1490707397461, 110.82856750488281, 120.22689819335938,28.561944804185053,, , , , , ,83.53860982259114,48.72233963012695, 58.853607177734375, 72.45118713378906, 90.1490707397461, 110.82856750488281, 120.22689819335938,28.561944804185053,, , , , , ,'--', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow', 'imgYellow',1.0,, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008341320000075333,0.007897720000073605, 0.008516719999988709, 0.00806722000015725, 0.008234819999870524, 0.008674720000271918, 0.00865672000008999,2.015504519999922, , , , , ,0.9031975746154786,, 1.227042555809021, 0.942674994468689, 0.760055422782898, 0.7435615062713623, 0.8426536917686462,0.1935394224773727,'--', 0.06111111111111111, 0.06944444444444445, 0.06574074074074074, 0.06481481481481481, 0.05462962962962963,'--', -0.1537037037037037, -0.15648148148148147, -0.15555555555555556, -0.1537037037037037, -0.1527777777777778,83.53860982259114,48.72233963012695, 58.853607177734375, 72.45118713378906, 90.1490707397461, 110.82856750488281, 120.22689819335938,28.561944804185053,, , , , , ,8.0, 18.0, 32.0, 51.0, 75.0, 87.0
سبز,red,0,imgRed,6.0,84.18011474609375,38.60698318481445, 71.61890411376953, 78.18368530273438, 89.24885559082031, 105.61290740966797, 121.80933380126953,28.884827715372086,, , , , , ,84.18011474609375,38.60698318481445, 71.61890411376953, 78.18368530273438, 89.24885559082031, 105.61290740966797, 121.80933380126953,28.884827715372086,, , , , , ,84.18011474609375,38.60698318481445, 71.61890411376953, 78.18368530273438, 89.24885559082031, 105.61290740966797, 121.80933380126953,28.884827715372086,, , , , , ,84.18011474609375,38.60698318481445, 71.61890411376953, 78.18368530273438, 89.24885559082031, 105.61290740966797, 121.80933380126953,28.884827715372086,, , , , , ,'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed', 'imgRed',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.00964478833331365,0.014158830000269518, 0.008597519999966607, 0.00863922000007733, 0.009299520000240591, 0.00887581999950271, 0.008297819999825151,, , , , , ,0.9302930037180582,1.3150209188461304, 0.8107950091362, 0.8095698952674866, 0.8775076270103455, 0.8593239784240723, 0.9095407128334045,0.1924177561578776,-0.028703703703703703, -0.027777777777777776, -0.04259259259259259, -0.02962962962962963, -0.02962962962962963, -0.03425925925925926,-0.1574074074074074, -0.15833333333333333, -0.1527777777777778, -0.1537037037037037, -0.15092592592592594, -0.15833333333333333,84.18011474609375,38.60698318481445, 71.61890411376953, 78.18368530273438, 89.24885559082031, 105.61290740966797, 121.80933380126953,28.884827715372086,, , , , , ,0.0, 31.0, 39.0, 50.0, 69.0, 89.0
سبز,blue,0,imgBlue,6.0,87.51285807291667,51.2552604675293, 64.75252532958984, 74.93421936035156, 100.79693603515625, 109.77901458740234, 123.55915069580078,28.151205827287075,, , , , , ,87.51285807291667,51.2552604675293, 64.75252532958984, 74.93421936035156, 100.79693603515625, 109.77901458740234, 123.55915069580078,28.151205827287075,, , , , , ,87.51285807291667,51.2552604675293, 64.75252532958984, 74.93421936035156, 100.79693603515625, 109.77901458740234, 123.55915069580078,28.151205827287075,, , , , , ,87.51285807291667,51.2552604675293, 64.75252532958984, 74.93421936035156, 100.79693603515625, 109.77901458740234, 123.55915069580078,28.151205827287075,, , , , , ,'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue', 'imgBlue',1.0,1.0, 1.0, 1.0, 1.0, 1.0, 1.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0,0.008584051666654583,0.00873412000009921, 0.009404820000327163, 0.007521119999637449, 0.00028560999999172054, 0.016405419999955484, 0.009153219999916473,, , , , , ,0.926607608795166,1.1246908903121948, 1.2275652885437012, 0.4923807978630066, 0.8370271921157837, 1.017181158065796, 0.8607999086380005,0.26035525999234044,-0.005555555555555556, -0.004629629629629629, -0.003703703703703704, -0.002777777777777778, 0.0, 0.002777777777777778,-0.16018518518518518, -0.16111111111111112, -0.16111111111111112, -0.16111111111111112, -0.16018518518518518, -0.16111111111111112,87.51285807291667,51.2552604675293, 64.75252532958984, 74.93421936035156, 100.79693603515625, 109.77901458740234, 123.55915069580078,28.151205827287075,, , , , , ,10.0, 24.0, 35.0, 63.0, 74.0, 91.0
